Index,META.Open,META.High,META.Low,META.Close,META.Volume,META.Adjusted
2015-10-13,93.6600036621094,95.370002746582,93.5500030517578,94.120002746582,19480300,93.6784896850586
2015-10-14,94.0800018310547,95.1999969482422,93.6100006103516,94.0699996948242,19253400,93.6287231445312
2015-10-15,94.9899978637695,96.3000030517578,94.9000015258789,95.9599990844727,27557500,95.5098724365234
2015-10-16,96.1800003051758,97.5899963378906,95.3499984741211,97.5400009155273,25412900,97.0824508666992
2015-10-19,97.1800003051758,98.5699996948242,96.9199981689453,98.4700012207031,23729900,98.0080871582031
2015-10-20,98.7300033569336,99.5899963378906,96.5599975585938,97,30881800,96.5449829101562
2015-10-21,97.370002746582,98.1800003051758,96.4700012207031,97.1100006103516,21917800,96.6544647216797
2015-10-22,97.7900009155273,99.7300033569336,97.5500030517578,99.6699981689453,26392100,99.2024612426758
2015-10-23,101.910003662109,102.849998474121,100.160003662109,102.190002441406,42809700,101.710639953613
2015-10-26,102.199996948242,103.809997558594,101.550003051758,103.769996643066,25961200,103.283218383789
2015-10-27,102.940002441406,104.099998474121,102.400001525879,103.699996948242,23795500,103.21354675293
2015-10-28,103.900001525879,104.480003356934,102.919998168945,104.199996948242,24081500,103.711204528809
2015-10-29,103.959999084473,105.120002746582,103.519996643066,104.879997253418,20316700,104.38801574707
2015-10-30,104.51000213623,104.720001220703,101.650001525879,101.970001220703,33487100,101.491676330566
2015-11-02,101.720001220703,103.470001220703,101.180000305176,103.309997558594,24003900,102.825386047363
2015-11-03,103.220001220703,103.650001525879,102.400001525879,102.580001831055,21242300,102.098808288574
2015-11-04,103.190002441406,104.139999389648,102.480003356934,103.940002441406,43469300,103.452430725098
2015-11-05,108.800003051758,110.650001525879,107.949996948242,108.76000213623,63232900,108.249824523926
2015-11-06,108.040000915527,108.73999786377,105.910003662109,107.099998474121,35084300,106.597602844238
2015-11-09,107,108.25,105.860000610352,106.48999786377,26383500,105.990463256836
2015-11-10,105.959999084473,108.150001525879,105.23999786377,107.910003662109,25031700,107.403800964355
2015-11-11,108.269996643066,109.870002746582,107.110000610352,109.01000213623,25057100,108.498641967773
2015-11-12,108.480003356934,109.389999389648,108,108.019996643066,20924700,107.513282775879
2015-11-13,107.709999084473,108.25,103.830001831055,103.949996948242,30278400,103.462387084961
2015-11-16,103.319999694824,104.169998168945,100.470001220703,104.040000915527,49309200,103.551956176758
2015-11-17,104.620002746582,106.199996948242,104.139999389648,105.129997253418,26807200,104.636840820312
2015-11-18,105.800003051758,107.879997253418,105.389999389648,107.769996643066,23836500,107.264450073242
2015-11-19,107.360000610352,107.730003356934,105.949996948242,106.26000213623,25520600,105.761558532715
2015-11-20,106.839996337891,107.870002746582,106.620002746582,107.319999694824,22129600,106.81657409668
2015-11-23,107.190002441406,107.470001220703,106.080001831055,106.949996948242,19897200,106.448310852051
