Index,XYF.Open,XYF.High,XYF.Low,XYF.Close,XYF.Volume,XYF.Adjusted
2018-09-19,45,60.9000015258789,33.75,35.9099998474121,2191333,30.866325378418
2018-09-20,34.2000007629395,37.5,33.2999992370605,33.2999992370605,421333,28.6229095458984
2018-09-21,32.4000015258789,32.4000015258789,28.5,28.5,326800,24.4970836639404
2018-09-24,27.4200000762939,28.1399993896484,25.9500007629395,26.6100006103516,278000,22.8725414276123
2018-09-25,26.6100006103516,27.4200000762939,26.4300003051758,27,117300,23.2077617645264
2018-09-26,27.3600006103516,28.7099990844727,27.2399997711182,28.2299995422363,154833,24.2650051116943
2018-09-27,28.8600006103516,29.0100002288818,25.7999992370605,27.2399997711182,100100,23.4140548706055
2018-09-28,28.0499992370605,28.0499992370605,26.7000007629395,27,92300,23.2077617645264
2018-10-01,27.0300006866455,27.6000003814697,26.7000007629395,27.1499996185303,28800,23.3366966247559
2018-10-02,27.1499996185303,28.2000007629395,27.1499996185303,27.1800003051758,53167,23.3624820709229
2018-10-03,27.5400009155273,27.9599990844727,27.3299999237061,27.9300003051758,36500,24.0071411132812
2018-10-04,27.9300003051758,27.9300003051758,26.7299995422363,26.7299995422363,31467,22.9756870269775
2018-10-05,27.1499996185303,27.1499996185303,24.5400009155273,26.8500003814697,58267,23.0788307189941
2018-10-08,26.8500003814697,28.8899993896484,25.6800003051758,28.5300006866455,63533,24.5228710174561
2018-10-09,28.4699993133545,28.6800003051758,27.2999992370605,28.6800003051758,14500,24.6518039703369
2018-10-10,28.4400005340576,28.6499996185303,27.5699996948242,28.5,18400,24.4970836639404
2018-10-11,27.5699996948242,28.5,27.1499996185303,28.4099998474121,26267,24.4197235107422
2018-10-12,28.7099990844727,29.6399993896484,27.5400009155273,27.7199993133545,20367,23.8266372680664
2018-10-15,27.1499996185303,29.0400009155273,27.1499996185303,28.5,23800,24.4970836639404
2018-10-16,28.8299999237061,29.0699996948242,27.4799995422363,28.6200008392334,8800,24.6002311706543
2018-10-17,29.2800006866455,29.2800006866455,27.6900005340576,28.5,8433,24.4970836639404
2018-10-18,28.5900001525879,28.6499996185303,27.8099994659424,28.5,29400,24.4970836639404
2018-10-19,28.2600002288818,28.2600002288818,26.4599990844727,27.0599994659424,19367,23.2593364715576
2018-10-22,27.7199993133545,27.8700008392334,27.0599994659424,27.0599994659424,10567,23.2593364715576
2018-10-23,26.5799999237061,27,25.9200000762939,26.1900005340576,9933,22.5115299224854
2018-10-24,26.4599990844727,26.7000007629395,25.5300006866455,25.6800003051758,17000,22.0731620788574
2018-10-25,25.6499996185303,26.1299991607666,24.8400001525879,25.5300006866455,5667,21.9442310333252
2018-10-26,24.2399997711182,25.4099998474121,24.2399997711182,24.5699996948242,4067,21.1190643310547
2018-10-29,25.3500003814697,25.3500003814697,23.0100002288818,23.5200004577637,17767,20.2165412902832
2018-10-30,24.1499996185303,24.2999992370605,22.5,22.5900001525879,10500,19.417163848877
2018-10-31,23.4300003051758,23.4300003051758,22.9799995422363,23.0400009155273,7467,19.8039588928223
2018-11-01,22.7999992370605,25.0499992370605,22.4699993133545,24.4500007629395,12800,21.0159206390381
2018-11-02,24.8999996185303,25.0200004577637,24.3600006103516,24.3600006103516,5133,20.9385604858398
2018-11-05,24.6299991607666,24.6299991607666,23.3999996185303,23.8199996948242,5233,20.4744052886963
2018-11-06,24.2099990844727,24.75,24.2099990844727,24.5100002288818,4233,21.0674915313721
2018-11-07,24.7800006866455,24.7800006866455,22.3799991607666,22.7099990844727,11833,19.5203075408936
2018-11-08,22.9500007629395,23.1599998474121,22.7999992370605,23.1299991607666,1467,19.8813171386719
2018-11-09,22.9500007629395,23.2199993133545,21,21.0900001525879,8833,18.1278438568115
2018-11-12,21.1800003051758,21.75,20.0699996948242,20.1000003814697,10433,17.276891708374
2018-11-13,20.4300003051758,20.4599990844727,20.0699996948242,20.0699996948242,5400,17.2511043548584
