Index,BRK-B.Open,BRK-B.High,BRK-B.Low,BRK-B.Close,BRK-B.Volume,BRK-B.Adjusted
2015-10-13,133,133.270004272461,131.910003662109,132.190002441406,2802400,132.190002441406
2015-10-14,132,132.449996948242,131.050003051758,131.179992675781,3125100,131.179992675781
2015-10-15,131.979995727539,133.830001831055,131.550003051758,133.800003051758,3273300,133.800003051758
2015-10-16,134.729995727539,135,132.960006713867,133.809997558594,3061800,133.809997558594
2015-10-19,133.5,133.889999389648,133.110000610352,133.619995117188,2158800,133.619995117188
2015-10-20,133.270004272461,134.399993896484,133.100006103516,134.160003662109,2118000,134.160003662109
2015-10-21,134.710006713867,135.410003662109,133.110000610352,133.220001220703,2396800,133.220001220703
2015-10-22,133.600006103516,137.699996948242,133.600006103516,137.289993286133,4898300,137.289993286133
2015-10-23,138,138,136.759994506836,137.779998779297,3172900,137.779998779297
2015-10-26,137.860000610352,137.940002441406,136.639999389648,137,2173300,137
2015-10-27,136.399993896484,136.669998168945,135.070007324219,135.630004882812,2278300,135.630004882812
2015-10-28,135.800003051758,138.410003662109,135.479995727539,138.160003662109,3244800,138.160003662109
2015-10-29,138.100006103516,138.5,137.229995727539,137.889999389648,2089100,137.889999389648
2015-10-30,137.559997558594,137.869995117188,136.020004272461,136.020004272461,4228200,136.020004272461
2015-11-02,136.770004272461,138.619995117188,136.330001831055,138.399993896484,3259300,138.399993896484
2015-11-03,138.300003051758,138.479995727539,137.710006713867,137.940002441406,2617800,137.940002441406
2015-11-04,138,138.080001831055,137.059997558594,137.429992675781,2606300,137.429992675781
2015-11-05,137.479995727539,138.029998779297,136.320007324219,136.570007324219,2461500,136.570007324219
2015-11-06,136.440002441406,137.190002441406,135.139999389648,136.330001831055,3732200,136.330001831055
2015-11-09,136,136.190002441406,133.399993896484,134,4884600,134
2015-11-10,134,134.729995727539,133.639999389648,134.729995727539,2932500,134.729995727539
2015-11-11,134.940002441406,135.199996948242,134.119995117188,134.960006713867,2056700,134.960006713867
2015-11-12,134.460006713867,134.630004882812,132.770004272461,132.779998779297,3789800,132.779998779297
2015-11-13,132.610000610352,133.570007324219,131.740005493164,131.960006713867,3589400,131.960006713867
2015-11-16,131.820007324219,133.309997558594,131.470001220703,133.300003051758,2965600,133.300003051758
2015-11-17,133.850006103516,133.929992675781,132.679992675781,133.089996337891,2882800,133.089996337891
2015-11-18,133.470001220703,136.380004882812,133.270004272461,136.220001220703,3773000,136.220001220703
2015-11-19,136.190002441406,136.869995117188,135.830001831055,136.630004882812,2755700,136.630004882812
2015-11-20,137.339996337891,137.419998168945,135.960006713867,136.630004882812,2921300,136.630004882812
2015-11-23,136.289993286133,136.779998779297,135.839996337891,135.990005493164,2469500,135.990005493164
2015-11-24,135.089996337891,135.880004882812,134.119995117188,135.539993286133,2759500,135.539993286133
2015-11-25,135.479995727539,136,134.839996337891,135.130004882812,2137400,135.130004882812
2015-11-27,135.300003051758,135.580001831055,134.449996948242,134.630004882812,1243000,134.630004882812
2015-11-30,134.820007324219,135.089996337891,133.820007324219,134.089996337891,5087800,134.089996337891
2015-12-01,134.860000610352,136.570007324219,134.360000610352,136.429992675781,3796900,136.429992675781
2015-12-02,136.5,136.740005493164,135.100006103516,135.270004272461,3710800,135.270004272461
2015-12-03,135.330001831055,135.539993286133,132.289993286133,132.660003662109,4378300,132.660003662109
2015-12-04,133.089996337891,136.520004272461,133,136.479995727539,5520200,136.479995727539
2015-12-07,136.199996948242,136.449996948242,134.679992675781,135.600006103516,2794900,135.600006103516
2015-12-08,134.899993896484,134.990005493164,133.169998168945,133.360000610352,4055600,133.360000610352
2015-12-09,133.179992675781,134.149993896484,131.199996948242,131.710006713867,4062900,131.710006713867
2015-12-10,131.720001220703,132.619995117188,131.190002441406,131.710006713867,3463800,131.710006713867
2015-12-11,130.309997558594,130.910003662109,129.559997558594,130.309997558594,5483100,130.309997558594
2015-12-14,130.5,132.229995727539,130.110000610352,132.020004272461,4418700,132.020004272461
2015-12-15,133.25,135.639999389648,132.759994506836,134.880004882812,4703300,134.880004882812
2015-12-16,135.490005493164,136.119995117188,133.100006103516,135.880004882812,4930300,135.880004882812
2015-12-17,135.710006713867,136.160003662109,133.899993896484,133.970001220703,3595900,133.970001220703
2015-12-18,133.039993286133,133.169998168945,129.529998779297,129.529998779297,8791500,129.529998779297
2015-12-21,131.160003662109,131.690002441406,129.649993896484,131.190002441406,4308400,131.190002441406
2015-12-22,131.550003051758,133.330001831055,131.039993286133,133.139999389648,3714500,133.139999389648
2015-12-23,133.350006103516,134.429992675781,133.199996948242,134.149993896484,3483200,134.149993896484
2015-12-24,134.119995117188,134.550003051758,133.479995727539,133.889999389648,1367500,133.889999389648
2015-12-28,133.479995727539,133.539993286133,132.520004272461,133.119995117188,2382900,133.119995117188
2015-12-29,134,134.550003051758,133,134.139999389648,3135400,134.139999389648
2015-12-30,133.919998168945,134.119995117188,133.059997558594,133.259994506836,2684300,133.259994506836
2015-12-31,133,133.369995117188,131.949996948242,132.039993286133,3405600,132.039993286133
2016-01-04,130.160003662109,131.029998779297,128.759994506836,130.75,6869100,130.75
2016-01-05,130.75,131.529998779297,129.809997558594,131.25,4084600,131.25
2016-01-06,129.990005493164,131.759994506836,129.729995727539,131.330001831055,5219400,131.330001831055
2016-01-07,129.25,130.539993286133,129,129.479995727539,7382000,129.479995727539
2016-01-08,130.110000610352,130.399993896484,128.210006713867,128.330001831055,6101600,128.330001831055
2016-01-11,128.919998168945,129.229995727539,127.040000915527,128.360000610352,4353500,128.360000610352
2016-01-12,129.110000610352,129.419998168945,127.519996643066,128.800003051758,4723400,128.800003051758
2016-01-13,128.970001220703,129.380004882812,125.709999084473,126.25,6042400,126.25
2016-01-14,126.410003662109,128.990005493164,126.01000213623,128.070007324219,6125300,128.070007324219
2016-01-15,125.339996337891,126.809997558594,124.51000213623,126.139999389648,8145100,126.139999389648
2016-01-19,126.860000610352,128.270004272461,126.769996643066,127.76000213623,5831700,127.76000213623
2016-01-20,125.599998474121,126.120002746582,124.040000915527,124.830001831055,8024200,124.830001831055
2016-01-21,125.519996643066,126.75,124.370002746582,125.620002746582,3806100,125.620002746582
2016-01-22,127.5,127.930000305176,125.919998168945,127.040000915527,3765700,127.040000915527
2016-01-25,126.550003051758,126.900001525879,123.900001525879,124.129997253418,5251500,124.129997253418
2016-01-26,124.569999694824,126.519996643066,124.569999694824,125.889999389648,3694900,125.889999389648
2016-01-27,125.26000213623,127.220001220703,124.610000610352,125.190002441406,3942600,125.190002441406
2016-01-28,126,126.720001220703,124.370002746582,126.01000213623,3513300,126.01000213623
2016-01-29,126.660003662109,129.770004272461,126.110000610352,129.770004272461,6523800,129.770004272461
2016-02-01,128.940002441406,129.639999389648,127.540000915527,128.660003662109,4443300,128.660003662109
2016-02-02,127.519996643066,127.830001831055,125.51000213623,125.699996948242,4336700,125.699996948242
2016-02-03,126.339996337891,126.629997253418,123.550003051758,126.23999786377,6607500,126.23999786377
2016-02-04,126.089996337891,127.699996948242,125.75,127.440002441406,4596300,127.440002441406
2016-02-05,127.279998779297,127.389999389648,125.75,126.559997558594,4732600,126.559997558594
2016-02-08,125.699996948242,127.839996337891,124.930000305176,126.779998779297,6197700,126.779998779297
2016-02-09,125.150001525879,128.080001831055,125.150001525879,127.720001220703,5246300,127.720001220703
2016-02-10,128.440002441406,129.179992675781,126.290000915527,126.580001831055,4731100,126.580001831055
2016-02-11,124.110000610352,125.839996337891,124.040000915527,125.089996337891,6061300,125.089996337891
2016-02-12,126.76000213623,128.210006713867,126.050003051758,128.070007324219,5167600,128.070007324219
2016-02-16,129.440002441406,129.600006103516,128.070007324219,128.559997558594,5912500,128.559997558594
2016-02-17,129.169998168945,130.440002441406,128.910003662109,130.259994506836,4512100,130.259994506836
2016-02-18,130.600006103516,132.350006103516,130.589996337891,130.860000610352,3866300,130.860000610352
2016-02-19,130.350006103516,131.600006103516,130.009994506836,131.050003051758,4094200,131.050003051758
2016-02-22,132.190002441406,132.869995117188,131.330001831055,131.990005493164,3720400,131.990005493164
2016-02-23,131.119995117188,131.910003662109,130.649993896484,130.740005493164,3091500,130.740005493164
2016-02-24,129.899993896484,131.5,128.880004882812,131.029998779297,3635800,131.029998779297
2016-02-25,131.619995117188,132.369995117188,130.419998168945,132.309997558594,3504200,132.309997558594
2016-02-26,132.820007324219,133.289993286133,131.770004272461,131.919998168945,3851400,131.919998168945
2016-02-29,133.360000610352,135.110000610352,132.940002441406,134.169998168945,7730100,134.169998168945
2016-03-01,135.110000610352,136.940002441406,134.320007324219,136.940002441406,6068600,136.940002441406
2016-03-02,136.949996948242,137.149993896484,135.809997558594,136.729995727539,3777800,136.729995727539
2016-03-03,136.800003051758,137.240005493164,136.130004882812,136.839996337891,3936500,136.839996337891
2016-03-04,136.990005493164,138.059997558594,136.520004272461,137.970001220703,4228600,137.970001220703
2016-03-07,137.699996948242,138.789993286133,137.429992675781,138.720001220703,4571900,138.720001220703
2016-03-08,138.25,138.699996948242,137.490005493164,137.800003051758,4124500,137.800003051758
2016-03-09,138.550003051758,139.149993896484,138.070007324219,139.130004882812,3165600,139.130004882812
2016-03-10,139.75,139.75,137.809997558594,138.619995117188,4524300,138.619995117188
2016-03-11,139.339996337891,140.759994506836,139.110000610352,140.649993896484,4306900,140.649993896484
2016-03-14,140.800003051758,141.220001220703,139.479995727539,139.720001220703,4244200,139.720001220703
2016-03-15,139.119995117188,140.410003662109,139.009994506836,140.399993896484,2838200,140.399993896484
