Index,STXNDQ.JO.Open,STXNDQ.JO.High,STXNDQ.JO.Low,STXNDQ.JO.Close,STXNDQ.JO.Volume,STXNDQ.JO.Adjusted
2018-04-10,4387.06982421875,4387.06982421875,4387.06982421875,4387.06982421875,0,4387.06982421875
2018-04-11,4409.14990234375,4409.14990234375,4409.14990234375,4409.14990234375,0,4409.14990234375
2018-04-12,4439.22998046875,4439.22998046875,4439.22998046875,4439.22998046875,0,4439.22998046875
2018-04-13,4456.72021484375,4456.72021484375,4456.72021484375,4456.72021484375,0,4456.72021484375
2018-04-16,4461.3798828125,4461.3798828125,4461.3798828125,4461.3798828125,0,4461.3798828125
2018-04-17,4526.66015625,4526.66015625,4526.66015625,4526.66015625,0,4526.66015625
2018-04-18,4527.5400390625,4527.5400390625,4527.5400390625,4527.5400390625,0,4527.5400390625
2018-04-19,4493.9599609375,4493.9599609375,4493.9599609375,4493.9599609375,0,4493.9599609375
2018-04-20,4480.669921875,4480.669921875,4480.669921875,4480.669921875,0,4480.669921875
2018-04-23,4576.85009765625,4576.85009765625,4576.85009765625,4576.85009765625,0,4576.85009765625
2018-04-24,4524.009765625,4524.009765625,4524.009765625,4524.009765625,0,4524.009765625
2018-04-25,4528.169921875,4528.169921875,4528.169921875,4528.169921875,0,4528.169921875
2018-04-26,4573.60009765625,4573.60009765625,4573.60009765625,4573.60009765625,0,4573.60009765625
2018-04-30,4622.759765625,4622.759765625,4622.759765625,4622.759765625,0,4622.759765625
2018-05-02,4716.1201171875,4716.1201171875,4716.1201171875,4716.1201171875,0,4716.1201171875
2018-05-03,4630.3798828125,4630.3798828125,4630.3798828125,4630.3798828125,0,4630.3798828125
2018-05-04,4712.72021484375,4712.72021484375,4712.72021484375,4712.72021484375,0,4712.72021484375
2018-05-07,4708.97998046875,4708.97998046875,4708.97998046875,4708.97998046875,0,4708.97998046875
2018-05-08,4775.7001953125,4775.7001953125,4775.7001953125,4775.7001953125,0,4775.7001953125
2018-05-09,4766.81982421875,4766.81982421875,4766.81982421875,4766.81982421875,0,4766.81982421875
2018-05-10,4774.43994140625,4774.43994140625,4774.43994140625,4774.43994140625,0,4774.43994140625
2018-05-11,4725.97021484375,4725.97021484375,4725.97021484375,4725.97021484375,0,4725.97021484375
2018-05-14,4766.68017578125,4766.68017578125,4766.68017578125,4766.68017578125,0,4766.68017578125
2018-05-15,4801.64013671875,4801.64013671875,4801.64013671875,4801.64013671875,0,4801.64013671875
2018-05-16,4780.56005859375,4780.56005859375,4780.56005859375,4780.56005859375,0,4780.56005859375
2018-05-17,4842.22021484375,4842.22021484375,4842.22021484375,4842.22021484375,0,4842.22021484375
2018-05-18,4874.43994140625,4874.43994140625,4874.43994140625,4874.43994140625,0,4874.43994140625
2018-05-21,4897.85986328125,4897.85986328125,4897.85986328125,4897.85986328125,0,4897.85986328125
2018-05-22,4839.47998046875,4839.47998046875,4839.47998046875,4839.47998046875,0,4839.47998046875
2018-05-23,4802.18017578125,4802.18017578125,4802.18017578125,4802.18017578125,0,4802.18017578125
2018-05-24,4791.169921875,4791.169921875,4791.169921875,4791.169921875,0,4791.169921875
2018-05-25,4845.06005859375,4845.06005859375,4845.06005859375,4845.06005859375,0,4845.06005859375
2018-05-28,4823.4501953125,4823.4501953125,4823.4501953125,4823.4501953125,0,4823.4501953125
2018-05-29,4860.4599609375,4860.4599609375,4860.4599609375,4860.4599609375,0,4860.4599609375
2018-05-30,4868.68017578125,4868.68017578125,4868.68017578125,4868.68017578125,0,4868.68017578125
2018-05-31,4922.35986328125,4922.35986328125,4922.35986328125,4922.35986328125,0,4922.35986328125
2018-06-01,4964.31005859375,4964.31005859375,4964.31005859375,4964.31005859375,0,4964.31005859375
2018-06-04,4974.56005859375,4974.56005859375,4974.56005859375,4974.56005859375,0,4974.56005859375
2018-06-05,5077.47998046875,5077.47998046875,5077.47998046875,5077.47998046875,0,5077.47998046875
2018-06-06,5069.7900390625,5069.7900390625,5069.7900390625,5069.7900390625,0,5069.7900390625
2018-06-07,5135.509765625,5135.509765625,5135.509765625,5135.509765625,0,5135.509765625
2018-06-08,5200.1201171875,5200.1201171875,5200.1201171875,5200.1201171875,0,5200.1201171875
2018-06-11,5222.3798828125,5222.3798828125,5222.3798828125,5222.3798828125,0,5222.3798828125
2018-06-12,5279.759765625,5279.759765625,5279.759765625,5279.759765625,0,5279.759765625
2018-06-13,5337.2099609375,5337.2099609375,5337.2099609375,5337.2099609375,0,5337.2099609375
2018-06-14,5389.10009765625,5389.10009765625,5389.10009765625,5389.10009765625,0,5389.10009765625
2018-06-15,5432.27978515625,5432.27978515625,5432.27978515625,5432.27978515625,0,5432.27978515625
