Index,RACE.Open,RACE.High,RACE.Low,RACE.Close,RACE.Volume,RACE.Adjusted
2015-10-21,60,60.9700012207031,55,55,22498800,50.845531463623
2015-10-22,57.0699996948242,58.2000007629395,55.7000007629395,56.75,4545100,52.4633293151855
2015-10-23,57.7700004577637,58,56.2700004577637,56.3800010681152,1967600,52.1212921142578
2015-10-26,57,57,54.5400009155273,55.0200004577637,1466300,50.8640174865723
2015-10-27,54.7999992370605,54.9900016784668,49.3600006103516,53.8499984741211,5949200,49.7823829650879
2015-10-28,54.0200004577637,54.1599998474121,50.0999984741211,51.8699989318848,2411300,47.9519538879395
2015-10-29,51.8699989318848,52.4700012207031,50.7569999694824,51.0200004577637,1362800,47.1661529541016
2015-10-30,51.560001373291,51.7999992370605,49.6599998474121,50.4300003051758,1355100,46.6207275390625
2015-11-02,50.8600006103516,53.1699981689453,49.8899993896484,53.0800018310547,890200,49.0705528259277
2015-11-03,53.0900001525879,55,52.1199989318848,52.3800010681152,1022400,48.4234313964844
2015-11-04,52.9599990844727,54.0400009155273,52.75,53.439998626709,753300,49.4033622741699
2015-11-05,53.4500007629395,53.8499984741211,51.6100006103516,51.7400016784668,820200,47.8317756652832
2015-11-06,52.2000007629395,52.4300003051758,51.7999992370605,52.4300003051758,513500,48.469654083252
2015-11-09,52.8199996948242,53.6500015258789,52,53.2000007629395,442800,49.1814842224121
2015-11-10,53.7000007629395,54,53.0900001525879,54,376800,49.9210624694824
2015-11-11,54,54.5,53.0299987792969,54.3400001525879,471500,50.2353820800781
2015-11-12,54.3300018310547,54.4000015258789,53.2599983215332,54.1199989318848,379300,50.0319938659668
2015-11-13,53.9500007629395,53.9500007629395,50.5200004577637,51.4000015258789,1337000,47.5174598693848
2015-11-16,51.9500007629395,51.9500007629395,48.8300018310547,49.5099983215332,1297500,45.7702178955078
2015-11-17,50.2799987792969,50.7700004577637,48.810001373291,48.9799995422363,897300,45.2802543640137
2015-11-18,49.3899993896484,49.4739990234375,47.2099990844727,47.2799987792969,1102000,43.7086563110352
2015-11-19,47.4599990844727,47.8600006103516,45.8300018310547,47.5999984741211,2163800,44.0044860839844
2015-11-20,47.8699989318848,48.4900016784668,47.6199989318848,48.0800018310547,542500,44.4482345581055
2015-11-23,48.0999984741211,48.2900009155273,45.9799995422363,46,1389000,42.5253524780273
2015-11-24,46,46.4599990844727,44.6500015258789,46.2799987792969,1036600,42.7841949462891
2015-11-25,46.5,46.8300018310547,45.5,45.6599998474121,868900,42.2110214233398
2015-11-27,45.5900001525879,46.4199981689453,45.4000015258789,46.060001373291,285300,42.5808143615723
2015-11-30,46.2999992370605,46.8699989318848,45.8800010681152,46.3499984741211,566400,42.8489112854004
2015-12-01,46.5,48.2599983215332,46.439998626709,47.6399993896484,667100,44.0414695739746
2015-12-02,47.8800010681152,48.1279983520508,46.8499984741211,47.2099990844727,614800,43.6439514160156
2015-12-03,47.439998626709,47.8600006103516,46.25,47.060001373291,528500,43.5052757263184
2015-12-04,47.3400001525879,48.8499984741211,47.0900001525879,48.5499992370605,583200,44.8827285766602
2015-12-07,48.6500015258789,50.3899993896484,47.5099983215332,47.9900016784668,861400,44.3650321960449
2015-12-08,48.4900016784668,49,47,47.6199989318848,842500,44.0229759216309
2015-12-09,47.439998626709,49.439998626709,47.1399993896484,47.75,507600,44.1431617736816
2015-12-10,48.0699996948242,49.3600006103516,47.8800010681152,48.9799995422363,526800,45.2802543640137
2015-12-11,48.0099983215332,49.2200012207031,47.5940017700195,48.7900009155273,480300,45.104606628418
2015-12-14,48.0499992370605,48.7000007629395,46,46.9300003051758,699400,43.3850975036621
2015-12-15,46.9300003051758,49.0900001525879,46.9000015258789,47.5499992370605,760700,43.9582710266113
2015-12-16,48.3199996948242,48.9700012207031,47.2900009155273,48.5,534500,44.8365097045898
2015-12-17,48.6500015258789,48.9900016784668,47.0200004577637,47.4799995422363,547100,43.8935585021973
2015-12-18,46.9599990844727,47.4799995422363,46,46.3600006103516,461200,42.858154296875
2015-12-21,46.25,47.7999992370605,46.0900001525879,47.4099998474121,623100,43.8288421630859
2015-12-22,47.4799995422363,48.7299995422363,46.560001373291,46.6199989318848,448500,43.0985145568848
2015-12-23,47.0400009155273,47.9900016784668,46.810001373291,47.0499992370605,232200,43.4960403442383
2015-12-24,46.6199989318848,47.5099983215332,46.6100006103516,46.75,150600,43.2186965942383
2015-12-28,47.2900009155273,47.5,46.2750015258789,46.4300003051758,269300,42.9228668212891
2015-12-29,46.8400001525879,48.1399993896484,46.7050018310547,47.9300003051758,505500,44.3095588684082
2015-12-30,47.9300003051758,48.5499992370605,47.5,48.4099998474121,297000,44.7533073425293
2015-12-31,48.2599983215332,48.8849983215332,47.4300003051758,48,390400,44.3742790222168
2016-01-04,47.2900009155273,47.810001373291,46.4099998474121,47.3899993896484,2507000,43.8103561401367
2016-01-05,48.5999984741211,48.7299995422363,47.4500007629395,48.4900016784668,1934400,44.8272590637207
2016-01-06,47.75,47.8600006103516,46.5800018310547,47.0699996948242,2554900,43.5145225524902
2016-01-07,46.4199981689453,47.0800018310547,46.1599998474121,46.6500015258789,1775300,43.1262474060059
2016-01-08,46.5999984741211,46.6300010681152,43.1100006103516,43.1100006103516,5116900,39.853645324707
2016-01-11,43.2000007629395,43.8600006103516,42.0999984741211,43.3800010681152,2307700,40.1032524108887
2016-01-12,43.9500007629395,44.0900001525879,42.8600006103516,43.6599998474121,1933800,40.3620986938477
2016-01-13,43.4300003051758,43.5800018310547,42.2000007629395,42.6699981689453,1440600,39.4468803405762
2016-01-14,42.4700012207031,42.560001373291,40.5699996948242,41.9900016784668,3631200,38.8182487487793
2016-01-15,40.4700012207031,40.7400016784668,39.6599998474121,40.0200004577637,1878300,36.9970512390137
