Index,BCC.Open,BCC.High,BCC.Low,BCC.Close,BCC.Volume,BCC.Adjusted
2015-10-13,27.8299999237061,28.4899997711182,27.7199993133545,27.8099994659424,219900,18.6170120239258
2015-10-14,27.8299999237061,28.1900005340576,27.6399993896484,27.7000007629395,180600,18.5433673858643
2015-10-15,27.8500003814697,28.4400005340576,27.6100006103516,28.3099994659424,345500,18.9517307281494
2015-10-16,28.2999992370605,28.3600006103516,26.9200000762939,28.0799999237061,452600,18.7977657318115
2015-10-19,28.0100002288818,28.5,27.7900009155273,28.25,263900,18.9115619659424
2015-10-20,28.2299995422363,28.2299995422363,26.75,27.2800006866455,416400,18.2622089385986
2015-10-21,27.4300003051758,27.9099998474121,27.0699996948242,27.3700008392334,349300,18.3224601745605
2015-10-22,29.7000007629395,32.1500015258789,29.1700000762939,32.0299987792969,1056400,21.4420280456543
2015-10-23,32.4599990844727,33.1500015258789,31.9500007629395,32.8699989318848,595800,22.0043563842773
2015-10-26,32.7999992370605,33.0999984741211,31.1399993896484,31.4300003051758,434700,21.0403709411621
2015-10-27,31.3700008392334,31.5599994659424,29.9899997711182,30.0200004577637,461500,20.0964603424072
2015-10-28,30.2399997711182,30.8700008392334,29.8150005340576,30.3999996185303,678300,20.35085105896
2015-10-29,30.1800003051758,30.7700004577637,30.1700000762939,30.25,315900,20.2504348754883
2015-10-30,30.3199996948242,30.5,29.6399993896484,29.9300003051758,335800,20.0362148284912
2015-11-02,29.9200000762939,30.7999992370605,29.7800006866455,30.5499992370605,533400,20.451265335083
2015-11-03,30.4300003051758,30.5699996948242,29.7800006866455,29.8700008392334,306500,19.9960498809814
2015-11-04,30.0100002288818,30.2000007629395,29.6700000762939,29.9899997711182,326800,20.076379776001
2015-11-05,29.9899997711182,30.3299999237061,29.5400009155273,30.1499996185303,263000,20.1834907531738
2015-11-06,30,30.9799995422363,29.8500003814697,30.75,384200,20.5851497650146
2015-11-09,30.75,30.9099998474121,29.7900009155273,30.6100006103516,259200,20.4914321899414
2015-11-10,30.5,30.9249992370605,29.9200000762939,30.4699993133545,174200,20.3977127075195
2015-11-11,30.4899997711182,30.7000007629395,30.0300006866455,30.4599990844727,142600,20.3910102844238
2015-11-12,30.1800003051758,30.3199996948242,29.2299995422363,29.3500003814697,181200,19.6479434967041
2015-11-13,29.1800003051758,29.9400005340576,29.0599994659424,29.5,184400,19.7483596801758
2015-11-16,29.4300003051758,29.8980007171631,29.2900009155273,29.8299999237061,188700,19.9692726135254
2015-11-17,29.8899993896484,30.3050003051758,29.4799995422363,29.6499996185303,160200,19.8487777709961
2015-11-18,29.6700000762939,30.5799999237061,29.5499992370605,30.5499992370605,243100,20.451265335083
2015-11-19,30.4300003051758,30.6000003814697,29.2299995422363,29.9899997711182,228100,20.076379776001
2015-11-20,30.2000007629395,30.6299991607666,29.6399993896484,30.4699993133545,297200,20.3977127075195
2015-11-23,30.2999992370605,31.3999996185303,30.2999992370605,31.2299995422363,359600,20.9064826965332
2015-11-24,31.0100002288818,31.1800003051758,30.5200004577637,30.8500003814697,229300,20.6520957946777
2015-11-25,30.8199996948242,31.1900005340576,30.3199996948242,31.0300006866455,195000,20.7725944519043
2015-11-27,31.1000003814697,31.25,30.9599990844727,31.1499996185303,45800,20.8529243469238
2015-11-30,31.1700000762939,31.5799999237061,31,31.2999992370605,200700,20.9533462524414
2015-12-01,31.3500003814697,31.7950000762939,31.2800006866455,31.4899997711182,248100,21.0805358886719
2015-12-02,31.4099998474121,31.8500003814697,30.2700004577637,30.3700008392334,195400,20.3307666778564
2015-12-03,29.8799991607666,30.5200004577637,28.7099990844727,28.8299999237061,415200,19.2998371124268
2015-12-04,28.8999996185303,29.0100002288818,28.4200000762939,28.8899993896484,224400,19.3400001525879
2015-12-07,28.8799991607666,28.8799991607666,26.9699993133545,27.25,321800,18.2421321868896
2015-12-08,27,27.9799995422363,26.7600002288818,27.5499992370605,356300,18.4429531097412
