Index,SYGEU.JO.Open,SYGEU.JO.High,SYGEU.JO.Low,SYGEU.JO.Close,SYGEU.JO.Volume,SYGEU.JO.Adjusted
2015-12-14,5669,5669,5669,5669,0,5662.2978515625
2015-12-15,5315,5315,5315,5315,0,5308.716796875
2015-12-16,NA,NA,NA,NA,NA,NA
2015-12-17,5368,5368,5368,5368,0,5361.65380859375
2015-12-18,5476,5476,5476,5476,0,5469.52587890625
2015-12-21,5351,5351,5351,5351,0,5344.673828125
2015-12-22,5351,5351,5351,5351,0,5344.673828125
2015-12-23,5457,5457,5457,5457,0,5450.54833984375
2015-12-24,5457,5457,5457,5457,0,5450.6015625
2015-12-25,NA,NA,NA,NA,NA,NA
2015-12-28,5525,5525,5525,5525,0,5518.52197265625
2015-12-29,5525,5525,5525,5525,0,5518.52197265625
2015-12-30,5605,5605,5605,5605,0,5598.42724609375
2015-12-31,5605,5605,5605,5605,0,5598.42724609375
2016-01-01,NA,NA,NA,NA,NA,NA
2016-01-04,5368,5368,5368,5368,0,5361.7060546875
2016-01-05,5368,5368,5368,5368,0,5361.7060546875
2016-01-06,5358,5358,5358,5358,0,5351.7177734375
2016-01-07,5350,5350,5350,5350,0,5343.7275390625
2016-01-08,5350,5350,5350,5350,0,5343.7275390625
2016-01-11,5499,5499,5499,5499,0,5492.55224609375
2016-01-12,5521,5521,5521,5521,0,5514.52734375
2016-01-13,5502,5502,5502,5502,0,5495.548828125
2016-01-14,5502,5502,5502,5502,0,5495.548828125
2016-01-15,5452,5452,5452,5452,0,5445.60791015625
2016-01-18,5372,5372,5372,5372,0,5365.7021484375
2016-01-19,5458,5458,5458,5458,0,5451.60009765625
2016-01-20,5343,5343,5343,5343,0,5336.73583984375
2016-01-21,5320,5320,5320,5320,0,5313.7626953125
2016-01-22,5421,5421,5421,5421,0,5414.64404296875
2016-01-25,5383,5383,5383,5383,0,5376.68896484375
2016-01-26,5414,5414,5414,5414,0,5407.65234375
2016-01-27,5446,5446,5446,5446,0,5439.61474609375
2016-01-28,5310,5310,5310,5310,0,5303.77392578125
2016-01-29,5310,5310,5310,5310,0,5303.77392578125
2016-02-01,5293,5293,5293,5293,0,5286.7939453125
2016-02-02,5293,5293,5293,5293,0,5286.7939453125
2016-02-03,5229,5229,5229,5229,0,5222.86865234375
2016-02-04,5164,5164,5164,5164,0,5157.9453125
2016-02-05,5158,5158,5158,5158,0,5151.9521484375
2016-02-08,5041,5041,5041,5041,0,5035.08984375
2016-02-09,4995,4995,4995,4995,0,4989.1435546875
2016-02-10,4975,4975,4975,4975,0,4969.166015625
2016-02-11,4803,4803,4803,4803,0,4797.36865234375
2016-02-12,4942,4942,4942,4942,0,4936.20654296875
2016-02-15,5010,5010,5010,5010,0,5004.1259765625
2016-02-16,4980,4980,4980,4980,0,4974.16064453125
2016-02-17,5028,5028,5028,5028,0,5022.10498046875
2016-02-18,4944,4944,4944,4944,0,4938.203125
2016-02-19,4944,4944,4944,4944,0,4938.203125
2016-02-22,4944,4944,4944,4944,0,4938.203125
2016-02-23,4877,4877,4877,4877,0,4871.2822265625
2016-02-24,4899,4899,4899,4899,0,4893.2568359375
2016-02-25,4981,4981,4981,4981,0,4975.15966796875
2016-02-26,4981,4981,4981,4981,0,4975.15966796875
2016-02-29,5077,5077,5077,5077,0,5071.04736328125
2016-03-01,5077,5077,5077,5077,0,5071.04736328125
2016-03-02,5125,5125,5125,5125,0,5118.990234375
2016-03-03,5125,5125,5125,5125,0,5118.990234375
2016-03-04,5169,5169,5169,5169,0,5162.93994140625
2016-03-07,5100,5100,5100,5100,0,5094.0205078125
2016-03-08,5146,5146,5146,5146,0,5139.9658203125
2016-03-09,5089,5089,5089,5089,0,5083.0341796875
2016-03-10,5124,5124,5124,5124,0,5117.9912109375
2016-03-11,5251,5251,5251,5251,0,5244.8427734375
2016-03-14,5368,5368,5368,5368,0,5361.7060546875
2016-03-15,5457,5457,5457,5457,0,5450.6015625
2016-03-16,5493,5493,5493,5493,0,5486.5595703125
2016-03-17,5493,5493,5493,5493,0,5486.5595703125
2016-03-18,5493,5493,5493,5493,0,5486.5595703125
2016-03-21,NA,NA,NA,NA,NA,NA
2016-03-22,5233,5233,5233,5233,0,5226.86376953125
2016-03-23,5233,5233,5233,5233,0,5226.86376953125
2016-03-24,5239,5239,5239,5239,0,5232.857421875
2016-03-25,NA,NA,NA,NA,NA,NA
2016-03-28,NA,NA,NA,NA,NA,NA
2016-03-29,5200,5200,5200,5200,0,5193.9013671875
2016-03-30,5200,5200,5200,5200,0,5193.9013671875
2016-03-31,5152,5152,5152,5152,0,5145.95849609375
2016-04-01,5152,5152,5152,5152,0,5145.95849609375
2016-04-04,4994,4994,4994,4994,0,4988.14453125
2016-04-05,4958,4958,4958,4958,0,4952.185546875
2016-04-06,4958,4958,4958,4958,0,4952.185546875
2016-04-07,4958,4958,4958,4958,0,4952.185546875
2016-04-08,4990,4990,4990,4990,0,4984.14990234375
2016-04-11,4990,4990,4990,4990,0,4984.14990234375
2016-04-12,4990,4990,4990,4990,0,4984.14990234375
2016-04-13,5028,5028,5028,5028,0,5022.10498046875
2016-04-14,5028,5028,5028,5028,0,5022.10498046875
2016-04-15,5073,5073,5073,5073,0,5067.0517578125
2016-04-18,5073,5073,5073,5073,0,5067.0517578125
2016-04-19,5089,5089,5089,5089,0,5083.0341796875
2016-04-20,5089,5089,5089,5089,0,5083.0341796875
2016-04-21,5115,5115,5115,5115,0,5109.00244140625
2016-04-22,5115,5115,5115,5115,0,5109.00244140625
2016-04-25,5115,5115,5115,5115,0,5109.00244140625
2016-04-26,5115,5115,5115,5115,0,5109.00244140625
2016-04-27,NA,NA,NA,NA,NA,NA
2016-04-28,NA,NA,NA,NA,NA,NA
2016-04-29,5086,5086,5086,5086,0,5080.037109375
2016-05-02,NA,NA,NA,NA,NA,NA
2016-05-03,4965,4965,4965,4965,0,4959.1787109375
2016-05-04,5094,5094,5094,5094,0,5088.0283203125
2016-05-05,5089,5089,5089,5089,0,5083.0341796875
2016-05-06,5087,5087,5087,5087,0,5081.03515625
2016-05-09,5087,5087,5087,5087,0,5081.03515625
2016-05-10,5087,5087,5087,5087,0,5081.03515625
2016-05-11,5087,5087,5087,5087,0,5081.03515625
2016-05-12,5165,5165,5165,5165,0,5158.94384765625
2016-05-13,5165,5165,5165,5165,0,5158.94384765625
2016-05-16,5328,5328,5328,5328,0,5321.7529296875
2016-05-17,5277,5277,5277,5277,0,5270.8125
2016-05-18,5277,5277,5277,5277,0,5270.8125
2016-05-19,5345,5345,5345,5345,0,5338.7333984375
2016-05-20,5313,5313,5313,5313,0,5306.77001953125
2016-05-23,5287,5287,5287,5287,0,5280.80078125
2016-05-24,5287,5287,5287,5287,0,5280.80078125
2016-05-25,5466,5466,5466,5466,0,5459.59130859375
