Index,DASH.Open,DASH.High,DASH.Low,DASH.Close,DASH.Volume,DASH.Adjusted
2020-12-09,182,195.5,163.800003051758,189.509994506836,25373700,189.509994506836
2020-12-10,179.710006713867,187.695007324219,172.636001586914,186,9307600,186
2020-12-11,176.520004272461,182,168.25,175,4760600,175
2020-12-14,169.100006103516,170,151.199996948242,160,7859600,160
2020-12-15,157.100006103516,161.419998168945,153.759994506836,158.889999389648,5017000,158.889999389648
2020-12-16,161.179992675781,167.470001220703,157.199996948242,158.050003051758,3061300,158.050003051758
2020-12-17,159.100006103516,161.660003662109,149.949996948242,154.210006713867,6369800,154.210006713867
2020-12-18,154.210006713867,169.949996948242,147.320007324219,166.350006103516,8157800,166.350006103516
2020-12-21,169.070007324219,173.460006713867,155,160.229995727539,3884200,160.229995727539
2020-12-22,161.050003051758,163.210006713867,153.421997070312,156.789993286133,2386700,156.789993286133
2020-12-23,155,161.559997558594,150.25,158.220001220703,1759900,158.220001220703
2020-12-24,157.380004882812,158.600006103516,153.070007324219,158.460006713867,673000,158.460006713867
2020-12-28,158.25,158.449996948242,141.505004882812,147.889999389648,3807700,147.889999389648
2020-12-29,146.119995117188,147.399993896484,139.639999389648,141.270004272461,3849500,141.270004272461
2020-12-30,144.399993896484,147.979995727539,139.800003051758,140.199996948242,3121100,140.199996948242
2020-12-31,140.199996948242,146.5,135.380004882812,142.75,2637300,142.75
2021-01-04,142.5,143.619995117188,137.169998168945,139.190002441406,2026400,139.190002441406
2021-01-05,138,146.119995117188,137.835006713867,144.429992675781,1031800,144.429992675781
2021-01-06,141.270004272461,142,138.210006713867,140.009994506836,1931400,140.009994506836
2021-01-07,140,154.639999389648,139.434997558594,152.770004272461,3215200,152.770004272461
2021-01-08,152,158.309997558594,147.300003051758,156.089996337891,2548700,156.089996337891
2021-01-11,153.190002441406,169,153.190002441406,167,2541300,167
2021-01-12,165.5,201.929992675781,162.615005493164,191.990005493164,7081800,191.990005493164
2021-01-13,192.410003662109,215.5,188.070007324219,198,6058800,198
2021-01-14,196.619995117188,221.399993896484,195.330001831055,207.240005493164,4512000,207.240005493164
2021-01-15,207,212.089996337891,186.949996948242,187.149993896484,3351100,187.149993896484
