Index,ESEA.Open,ESEA.High,ESEA.Low,ESEA.Close,ESEA.Volume,ESEA.Adjusted
2015-10-13,31.1798210144043,31.2449150085449,31.1147270202637,31.1147270202637,246,23.8932952880859
2015-10-14,31.1147270202637,31.1147270202637,30.9845409393311,30.9845409393311,77,23.793327331543
2015-10-15,30.9845409393311,30.9845409393311,30.8543529510498,30.8543529510498,676,23.6933536529541
2015-10-16,31.1147270202637,31.1147270202637,29.3572006225586,29.3572006225586,783,22.5436763763428
2015-10-19,30.2685108184814,30.2685108184814,30.2685108184814,30.2685108184814,230,23.243480682373
2015-10-20,29.6175746917725,29.7477626800537,28.7062644958496,28.7062644958496,584,22.0438117980957
2015-10-21,31.0496349334717,31.2449150085449,30.2034168243408,31.2449150085449,307,23.9932689666748
2015-10-22,31.2449150085449,31.2449150085449,31.2449150085449,31.2449150085449,0,23.9932689666748
2015-10-23,29.8128566741943,29.8128566741943,29.0968265533447,29.0968265533447,77,22.3437328338623
2015-10-26,29.0968265533447,29.0968265533447,29.0968265533447,29.0968265533447,0,22.3437328338623
2015-10-27,29.4873886108398,29.4873886108398,29.4873886108398,29.4873886108398,31,22.643648147583
2015-10-28,30.4637928009033,30.4637928009033,30.4637928009033,30.4637928009033,61,23.3934364318848
2015-10-29,29.3572006225586,31.1798210144043,28.5109844207764,31.1798210144043,92,23.9432792663574
2015-10-30,29.292106628418,29.292106628418,29.292106628418,29.292106628418,61,22.4936828613281
2015-11-02,27.6647682189941,29.4222946166992,27.2091121673584,29.4222946166992,830,22.5936603546143
2015-11-03,27.6647682189941,30.1383247375488,27.6647682189941,30.1383247375488,369,23.1435089111328
2015-11-04,27.9902362823486,29.3572006225586,27.9902362823486,28.3157043457031,92,21.743896484375
2015-11-05,28.3157043457031,28.3157043457031,28.3157043457031,28.3157043457031,0,21.743896484375
2015-11-06,28.3157043457031,28.3157043457031,27.2091121673584,27.2091121673584,415,20.8941326141357
2015-11-09,27.2091121673584,27.6647682189941,27.0138320922852,27.0138320922852,814,20.7441806793213
2015-11-10,27.0138320922852,27.1440200805664,27.0138320922852,27.0138320922852,568,20.7441806793213
2015-11-11,27.0138320922852,27.0138320922852,26.6883659362793,26.6883659362793,676,20.4942493438721
2015-11-12,26.6883659362793,27.274206161499,26.6883659362793,26.6883659362793,507,20.4942493438721
2015-11-13,26.6883659362793,26.6883659362793,26.558177947998,26.558177947998,753,20.3942775726318
2015-11-16,26.558177947998,26.558177947998,26.4279899597168,26.4279899597168,169,20.294303894043
2015-11-17,26.4279899597168,26.4279899597168,26.1025218963623,26.1025218963623,768,20.0443744659424
2015-11-18,26.0374298095703,26.1025218963623,25.3864936828613,26.0374298095703,568,19.9943885803223
