Index,NET.Open,NET.High,NET.Low,NET.Close,NET.Volume,NET.Adjusted
2019-10-22,15.039999961853,15.1300001144409,14.5200004577637,14.6199998855591,1207100,14.6199998855591
2019-10-23,14.6300001144409,15.2399997711182,14.6300001144409,14.7299995422363,894500,14.7299995422363
2019-10-24,14.8500003814697,15.9300003051758,14.8000001907349,15.8400001525879,1116400,15.8400001525879
2019-10-25,15.789999961853,16.2999992370605,15.6899995803833,16.1700000762939,1023400,16.1700000762939
2019-10-28,16.2999992370605,16.4099998474121,15.8000001907349,16.0300006866455,1184700,16.0300006866455
2019-10-29,16.1200008392334,16.2399997711182,15.5799999237061,15.7200002670288,752700,15.7200002670288
2019-10-30,15.75,16.7700004577637,15.7299995422363,16.7299995422363,1092500,16.7299995422363
2019-10-31,16.75,16.9699993133545,16.3199996948242,16.8400001525879,918100,16.8400001525879
2019-11-01,16.9200000762939,17.1900005340576,16.7000007629395,16.8299999237061,705600,16.8299999237061
2019-11-04,17.3400001525879,17.4799995422363,16.8920001983643,17.3700008392334,996600,17.3700008392334
2019-11-05,17.4400005340576,17.4899997711182,16.8400001525879,17.1000003814697,849500,17.1000003814697
2019-11-06,16.9899997711182,17.1000003814697,16.1599998474121,16.2199993133545,1055900,16.2199993133545
2019-11-07,16.4699993133545,16.8400001525879,15.5500001907349,15.8900003433228,1403800,15.8900003433228
2019-11-08,16.2999992370605,16.5960006713867,15.585000038147,16.1200008392334,1498700,16.1200008392334
2019-11-11,15.9399995803833,16.4659996032715,15.9399995803833,16.2299995422363,504000,16.2299995422363
2019-11-12,16.2600002288818,16.3740005493164,16.0200004577637,16.1599998474121,339000,16.1599998474121
2019-11-13,16,16.3799991607666,15.7799997329712,16.2600002288818,713200,16.2600002288818
2019-11-14,16.1200008392334,16.75,16,16.6700000762939,659300,16.6700000762939
2019-11-15,16.75,17.1200008392334,16.6399993896484,16.7399997711182,815100,16.7399997711182
2019-11-18,16.7900009155273,16.9899997711182,16.5100002288818,16.8899993896484,460800,16.8899993896484
2019-11-19,16.9200000762939,16.9699993133545,16.2199993133545,16.2999992370605,859100,16.2999992370605
2019-11-20,16.2000007629395,17.0900001525879,16.1800003051758,16.9200000762939,761600,16.9200000762939
2019-11-21,16.9699993133545,17.4500007629395,16.9179992675781,17.3600006103516,1010500,17.3600006103516
2019-11-22,17.4500007629395,17.9899997711182,17.2999992370605,17.7700004577637,1062400,17.7700004577637
2019-11-25,17.7999992370605,18.2199993133545,17.7399997711182,18.0699996948242,786700,18.0699996948242
2019-11-26,18.2000007629395,18.8299999237061,18.0699996948242,18.7900009155273,1326400,18.7900009155273
2019-11-27,18.8500003814697,19.7999992370605,18.568000793457,19.6100006103516,1662600,19.6100006103516
2019-11-29,19.3999996185303,19.6200008392334,19.1310005187988,19.4799995422363,496500,19.4799995422363
2019-12-02,19.3700008392334,19.4400005340576,18.1979999542236,18.9400005340576,1720000,18.9400005340576
2019-12-03,18.25,19.1599998474121,18.1100006103516,18.9500007629395,856100,18.9500007629395
2019-12-04,19.1000003814697,19.3999996185303,18.8299999237061,18.9599990844727,992800,18.9599990844727
2019-12-05,18.9099998474121,19.1499996185303,17.7199993133545,17.7299995422363,1145600,17.7299995422363
2019-12-06,18.25,18.5,17.9500007629395,18.4799995422363,878700,18.4799995422363
2019-12-09,18.4500007629395,18.5699996948242,17.2700004577637,17.7099990844727,923600,17.7099990844727
2019-12-10,17.7000007629395,18.0629997253418,17.4300003051758,17.6700000762939,453300,17.6700000762939
2019-12-11,17.6299991607666,17.7049999237061,17.0499992370605,17.1700000762939,611900,17.1700000762939
2019-12-12,17.1200008392334,17.6900005340576,16.9200000762939,17.6599998474121,545500,17.6599998474121
2019-12-13,17.6200008392334,18.1949996948242,17.3299999237061,17.9500007629395,704700,17.9500007629395
2019-12-16,18.2000007629395,18.7000007629395,18.0599994659424,18.3700008392334,882100,18.3700008392334
2019-12-17,18.25,19.2000007629395,17.4200000762939,17.6100006103516,1186000,17.6100006103516
2019-12-18,17.5499992370605,17.7590007781982,17.3799991607666,17.3899993896484,772400,17.3899993896484
2019-12-19,17.3999996185303,18.1499996185303,17.3999996185303,18,580000,18
2019-12-20,18.2999992370605,18.7000007629395,17.7999992370605,18.1200008392334,4174000,18.1200008392334
2019-12-23,18.2900009155273,18.2900009155273,17.2800006866455,17.3400001525879,981300,17.3400001525879
2019-12-24,17.4599990844727,17.5450000762939,17.2000007629395,17.3500003814697,354500,17.3500003814697
2019-12-26,17.2399997711182,17.5499992370605,17.1499996185303,17.1800003051758,498900,17.1800003051758
