Index,RDDT.Open,RDDT.High,RDDT.Low,RDDT.Close,RDDT.Volume,RDDT.Adjusted
2024-03-21,47,57.7999992370605,45.0499992370605,50.439998626709,48705500,50.439998626709
2024-03-22,48.8800010681152,51,45.3400001525879,46,15983100,46
2024-03-25,47.0900001525879,61.939998626709,46.0800018310547,59.7999992370605,24398800,59.7999992370605
2024-03-26,67.7099990844727,74.9000015258789,63.2099990844727,65.1100006103516,35331000,65.1100006103516
2024-03-27,63.7599983215332,63.7599983215332,55.6199989318848,57.75,18758300,57.75
2024-03-28,54.5200004577637,55.2999992370605,49.0999984741211,49.3199996948242,12608100,49.3199996948242
2024-04-01,48.9500007629395,49.2799987792969,44.3950004577637,45.9700012207031,12987900,45.9700012207031
2024-04-02,45.0550003051758,51.3499984741211,44,50.4500007629395,9442900,50.4500007629395
2024-04-03,49.7000007629395,51.2400016784668,46.5499992370605,46.9900016784668,4822900,46.9900016784668
2024-04-04,46.7000007629395,48.4300003051758,45.0999984741211,45.7799987792969,4618400,45.7799987792969
2024-04-05,45.6800003051758,48.2900009155273,44.6800003051758,47.560001373291,2930800,47.560001373291
2024-04-08,47.8600006103516,49.1800003051758,45.0400009155273,46.1500015258789,2661500,46.1500015258789
2024-04-09,46.4000015258789,47.4900016784668,44.9000015258789,45,2277300,45
2024-04-10,44,44.5979995727539,41.7200012207031,42.0900001525879,4350100,42.0900001525879
2024-04-11,42.0499992370605,46.3499984741211,42.0099983215332,44.5299987792969,4263000,44.5299987792969
2024-04-12,43.4700012207031,43.8600006103516,42.1599998474121,42.2700004577637,2021300,42.2700004577637
2024-04-15,41.939998626709,42.0999984741211,39.6800003051758,40,3448500,40
2024-04-16,40.5,42.1399993896484,39.3199996948242,41.1399993896484,1699000,41.1399993896484
2024-04-17,40.4000015258789,40.6049995422363,38.7000007629395,39.1699981689453,2153800,39.1699981689453
2024-04-18,38.7999992370605,42.1300010681152,37.3499984741211,41.7200012207031,2284100,41.7200012207031
2024-04-19,40.5699996948242,43.8300018310547,40.1699981689453,40.8800010681152,2540600,40.8800010681152
2024-04-22,40.8800010681152,42.5699996948242,40.5099983215332,42.0400009155273,1486400,42.0400009155273
2024-04-23,42.0699996948242,44.060001373291,41.8219985961914,42.8199996948242,1956500,42.8199996948242
2024-04-24,42.6599998474121,43.9700012207031,42.4500007629395,43.1500015258789,1384000,43.1500015258789
2024-04-25,41.6399993896484,42.6399993896484,40.8499984741211,42.4500007629395,1485800,42.4500007629395
2024-04-26,42.9799995422363,46.1990013122559,42.6500015258789,45.4300003051758,2764200,45.4300003051758
2024-04-29,46.0499992370605,48.8800010681152,45.8499984741211,46.2799987792969,2678300,46.2799987792969
2024-04-30,45.4700012207031,46.7550010681152,44.1500015258789,44.439998626709,1752900,44.439998626709
2024-05-01,44.8699989318848,47.7000007629395,44.5999984741211,45.8800010681152,1598100,45.8800010681152
2024-05-02,46.6100006103516,49.6389999389648,45.7200012207031,47.7000007629395,2365000,47.7000007629395
2024-05-03,48.439998626709,48.7000007629395,46.2400016784668,46.6399993896484,1188300,46.6399993896484
2024-05-06,46.9900016784668,49.8699989318848,46.75,48.2700004577637,2116700,48.2700004577637
2024-05-07,47.7299995422363,50.3300018310547,47.4000015258789,49.4000015258789,6241700,49.4000015258789
2024-05-08,55,55.1599998474121,49.7000007629395,51.4000015258789,13509300,51.4000015258789
2024-05-09,51.2400016784668,51.25,48.25,50.1100006103516,3909100,50.1100006103516
2024-05-10,50.6399993896484,54.75,50.3800010681152,53.5299987792969,4450800,53.5299987792969
2024-05-13,56.4900016784668,61.2099990844727,55.5900001525879,58.189998626709,8179400,58.189998626709
2024-05-14,62.5699996948242,64.5,59.5,62.3400001525879,7674000,62.3400001525879
2024-05-15,60.2299995422363,60.9300003051758,56.25,59.6300010681152,4897600,59.6300010681152
2024-05-16,59.5,60.4599990844727,56.2900009155273,56.3800010681152,3219400,56.3800010681152
2024-05-17,61.2000007629395,66.1500015258789,60.6199989318848,62.0400009155273,15131400,62.0400009155273
2024-05-20,61.9000015258789,62,57.2700004577637,61.2200012207031,5975200,61.2200012207031
2024-05-21,60.7400016784668,62.4599990844727,58.8400001525879,59.310001373291,2694000,59.310001373291
2024-05-22,59,60.4500007629395,55.8600006103516,56.689998626709,3272300,56.689998626709
2024-05-23,56.8800010681152,57.2599983215332,53.1100006103516,54.1599998474121,3289600,54.1599998474121
2024-05-24,53.9599990844727,56,53.2099990844727,54.7200012207031,2019800,54.7200012207031
2024-05-28,55.1199989318848,59.2750015258789,53.8629989624023,58.4900016784668,3536900,58.4900016784668
2024-05-29,57.4500007629395,58.6300010681152,56.8009986877441,57.6399993896484,1320000,57.6399993896484
2024-05-30,57,59.4900016784668,55.7599983215332,56.2999992370605,1857800,56.2999992370605
2024-05-31,56.2099990844727,57.5200004577637,53.4500007629395,54.2400016784668,2036800,54.2400016784668
2024-06-03,57.5499992370605,58.6399993896484,54.8199996948242,55.7999992370605,2573100,55.7999992370605
2024-06-04,55.2000007629395,55.4000015258789,53.9550018310547,54.5,1291000,54.5
2024-06-05,54.7900009155273,60.2400016784668,54.5709991455078,60.0699996948242,3030000,60.0699996948242
2024-06-06,58.9900016784668,63.5699996948242,58.3800010681152,63.4599990844727,3375200,63.4599990844727
2024-06-07,61.6300010681152,63.7999992370605,59.2099990844727,59.7999992370605,3414000,59.7999992370605
2024-06-10,60.0099983215332,61.3800010681152,58.2599983215332,59.6300010681152,1456800,59.6300010681152
2024-06-11,60.1199989318848,62.048999786377,58.4949989318848,61.5499992370605,2024100,61.5499992370605
2024-06-12,62.875,69.5899963378906,61.8499984741211,65.9300003051758,6825700,65.9300003051758
2024-06-13,66.8300018310547,69.0419998168945,63.6399993896484,63.9599990844727,2874500,63.9599990844727
2024-06-14,63.5400009155273,64.9400024414062,60.1100006103516,60.939998626709,2454900,60.939998626709
2024-06-17,61,61.1300010681152,58.0999984741211,60.3499984741211,2097100,60.3499984741211
2024-06-18,61.1100006103516,61.6389999389648,57.5,60.2099990844727,2213100,60.2099990844727
2024-06-20,60,60.0999984741211,55.4700012207031,57.4199981689453,3372100,57.4199981689453
2024-06-21,56.4000015258789,57.6500015258789,54.4500007629395,57.2999992370605,4440000,57.2999992370605
2024-06-24,57.3199996948242,58.8899993896484,55.9500007629395,56.4799995422363,1789200,56.4799995422363
2024-06-25,56.560001373291,61.5699996948242,56.4199981689453,61.3800010681152,2819000,61.3800010681152
2024-06-26,60.5,63.8800010681152,60.3300018310547,63.6100006103516,3828400,63.6100006103516
2024-06-27,62.8339996337891,64.6999969482422,62.0299987792969,63.5800018310547,1704800,63.5800018310547
2024-06-28,64.0699996948242,65.8199996948242,62.6699981689453,63.8899993896484,1921900,63.8899993896484
2024-07-01,64.1999969482422,66.6900024414062,62.2000007629395,66.5899963378906,3609100,66.5899963378906
2024-07-02,65.9899978637695,73.5199966430664,65.6500015258789,73.5100021362305,6089600,73.5100021362305
2024-07-03,71.9300003051758,73.9720001220703,70.1800003051758,73.620002746582,2718100,73.620002746582
2024-07-05,73.7799987792969,76.1999969482422,71.5800018310547,72.9700012207031,2587200,72.9700012207031
2024-07-08,72.7600021362305,74.1159973144531,70.9000015258789,72.8099975585938,2191100,72.8099975585938
2024-07-09,73.4800033569336,76.7399978637695,69.1999969482422,70.5899963378906,2879900,70.5899963378906
2024-07-10,71.2300033569336,72.2799987792969,67.620002746582,69.4000015258789,2156100,69.4000015258789
2024-07-11,70.5,71.890998840332,68.3280029296875,70.2900009155273,2170300,70.2900009155273
2024-07-12,70.75,76.7300033569336,69.4000015258789,73.8499984741211,3512600,73.8499984741211
2024-07-15,74.6900024414062,78.0800018310547,72.5309982299805,72.9800033569336,2782800,72.9800033569336
2024-07-16,70.6699981689453,70.6900024414062,66.7699966430664,70.4400024414062,4589300,70.4400024414062
2024-07-17,68.4800033569336,69.7900009155273,63.7900009155273,65.2099990844727,3319000,65.2099990844727
2024-07-18,66.7399978637695,66.7399978637695,63.9379997253418,65.9199981689453,2064100,65.9199981689453
2024-07-19,65.75,68.2699966430664,64.5,64.6999969482422,1997300,64.6999969482422
2024-07-22,66.9300003051758,70.4599990844727,65.5449981689453,68.129997253418,3644800,68.129997253418
2024-07-23,67.8000030517578,71.4100036621094,67.0100021362305,67.8399963378906,2486500,67.8399963378906
2024-07-24,65.6650009155273,66.3000030517578,62.1809997558594,62.9500007629395,2869100,62.9500007629395
2024-07-25,62.9000015258789,64.3600006103516,59.7299995422363,62.060001373291,2644500,62.060001373291
2024-07-26,62.9000015258789,64.3199996948242,61.2299995422363,62.3600006103516,2044300,62.3600006103516
2024-07-29,62.9700012207031,62.9799995422363,58.7200012207031,59.9799995422363,2202900,59.9799995422363
2024-07-30,60.060001373291,60.5900001525879,57.3600006103516,58.439998626709,2211200,58.439998626709
2024-07-31,59.3800010681152,61.2700004577637,59.310001373291,60.8499984741211,1652100,60.8499984741211
2024-08-01,64.4000015258789,64.6399993896484,59.2000007629395,59.3800010681152,2520400,59.3800010681152
2024-08-02,56.2400016784668,57.810001373291,54.1100006103516,57.5800018310547,3254200,57.5800018310547
2024-08-05,53.25,59.1300010681152,52.7599983215332,56.810001373291,3078900,56.810001373291
2024-08-06,58.0999984741211,58.5,54.3400001525879,54.3600006103516,6498300,54.3600006103516
2024-08-07,54.7999992370605,55.2400016784668,49.1300010681152,50.689998626709,7772200,50.689998626709
2024-08-08,51.9500007629395,57.742000579834,51.7599983215332,54.939998626709,5653300,54.939998626709
2024-08-09,53.9700012207031,54.1100006103516,51.5,52.9099998474121,14509800,52.9099998474121
2024-08-12,52.5,52.9700012207031,50.7999992370605,52.5099983215332,3398000,52.5099983215332
2024-08-13,53.0499992370605,54.689998626709,52.5400009155273,54.5200004577637,3967800,54.5200004577637
2024-08-14,53.7000007629395,55.0299987792969,53.2000007629395,54.9500007629395,3874000,54.9500007629395
2024-08-15,55.25,56.8499984741211,54.1800003051758,55.5499992370605,4841800,55.5499992370605
2024-08-16,54.8699989318848,55.1399993896484,53.9000015258789,54.9199981689453,3005700,54.9199981689453
2024-08-19,54.7900009155273,54.9000015258789,52.4900016784668,54.3600006103516,4487400,54.3600006103516
2024-08-20,53.5,55.060001373291,52.3899993896484,55.0200004577637,4206300,55.0200004577637
2024-08-21,54.8800010681152,57.1100006103516,54.2700004577637,56.8899993896484,4179400,56.8899993896484
2024-08-22,56.5,57.4500007629395,55.2999992370605,56.4300003051758,3939000,56.4300003051758
2024-08-23,56.5099983215332,59.6800003051758,56.1300010681152,59.2099990844727,5286700,59.2099990844727
2024-08-26,59.2900009155273,59.9799995422363,57.5099983215332,58.2599983215332,2555700,58.2599983215332
2024-08-27,57.7200012207031,60.2700004577637,56.5400009155273,59,3716300,59
2024-08-28,57.8800010681152,57.9300003051758,55.0200004577637,56.1399993896484,4033100,56.1399993896484
2024-08-29,57.5849990844727,60.2900009155273,57.0999984741211,58.75,5040100,58.75
2024-08-30,59,60.4099998474121,58.4749984741211,60.0299987792969,4152500,60.0299987792969
2024-09-03,59.2449989318848,60.0750007629395,57.4900016784668,57.5299987792969,3016000,57.5299987792969
2024-09-04,56.7200012207031,58.810001373291,56.060001373291,57,2772100,57
2024-09-05,56.7999992370605,59.564998626709,56.3800010681152,58.7099990844727,2699600,58.7099990844727
2024-09-06,59.2400016784668,60.4099998474121,55.7999992370605,56.8499984741211,3074500,56.8499984741211
2024-09-09,57.1399993896484,58.5,55.2509994506836,57.4599990844727,4540600,57.4599990844727
2024-09-10,57.5200004577637,57.8699989318848,55.4799995422363,56.8699989318848,2615600,56.8699989318848
2024-09-11,56.5,60,55.8400001525879,59.8699989318848,3466500,59.8699989318848
2024-09-12,60,62.6590003967285,59.3800010681152,59.6300010681152,4783600,59.6300010681152
2024-09-13,59.6300010681152,60.25,58.0400009155273,59.0900001525879,3726000,59.0900001525879
2024-09-16,58.5999984741211,60.0999984741211,57.2200012207031,59.1500015258789,2683800,59.1500015258789
2024-09-17,61.3699989318848,61.9799995422363,59.310001373291,61.8899993896484,3824400,61.8899993896484
2024-09-18,61.9199981689453,64.0899963378906,61.5400009155273,63.6599998474121,4688400,63.6599998474121
2024-09-19,64.9899978637695,67.1900024414062,63.9000015258789,64.5599975585938,5105700,64.5599975585938
