Index,AMZN.Open,AMZN.High,AMZN.Low,AMZN.Close,AMZN.Volume,AMZN.Adjusted
2015-10-13,27.3129997253418,27.6599998474121,27.1550006866455,27.4449996948242,58760000,27.4449996948242
2015-10-14,27.5669994354248,27.6124992370605,26.9839992523193,27.2415008544922,71642000,27.2415008544922
2015-10-15,27.3875007629395,28.1499996185303,27.3500003814697,28.1219997406006,98740000,28.1219997406006
2015-10-16,28.263500213623,28.5470008850098,28.0154991149902,28.5380001068115,86316000,28.5380001068115
2015-10-19,28.5380001068115,28.9500007629395,28.3689994812012,28.6574993133545,87508000,28.6574993133545
2015-10-20,28.6000003814697,28.6499996185303,27.7639999389648,28.0440006256104,86924000,28.0440006256104
2015-10-21,28.1935005187988,28.2625007629395,27.6259994506836,27.7884998321533,66872000,27.7884998321533
2015-10-22,28.1350002288818,28.4575004577637,27.8334999084473,28.195499420166,155588000,28.195499420166
2015-10-23,30.8840007781982,30.9724998474121,29.7679996490479,29.9514999389648,213854000,29.9514999389648
2015-10-26,30.1149997711182,30.4925003051758,29.8145008087158,30.4305000305176,85394000,30.4305000305176
2015-10-27,30.4300003051758,30.7355003356934,30.2765007019043,30.550500869751,75742000,30.550500869751
2015-10-28,30.6149997711182,30.861499786377,30.4750003814697,30.8549995422363,78524000,30.8549995422363
2015-10-29,30.8850002288818,31.3770008087158,30.7695007324219,31.3274993896484,77920000,31.3274993896484
2015-10-30,31.300500869751,31.5359992980957,31.2639999389648,31.2950000762939,77488000,31.2950000762939
2015-11-02,31.3565006256104,31.4314994812012,31.0205001831055,31.4174995422363,56330000,31.4174995422363
2015-11-03,31.4764995574951,31.494499206543,31.1000003814697,31.2654991149902,64938000,31.2654991149902
2015-11-04,31.3880004882812,32.296501159668,31.3675003051758,32.0475006103516,96810000,32.0475006103516
2015-11-05,32.3549995422363,32.8499984741211,32.1544990539551,32.7825012207031,94476000,32.7825012207031
2015-11-06,32.75,33.1129989624023,32.5999984741211,32.9684982299805,81844000,32.9684982299805
2015-11-09,32.9324989318848,33.0979995727539,32.3925018310547,32.7745018005371,80976000,32.7745018005371
2015-11-10,32.5504989624023,33,32.3629989624023,32.984001159668,69790000,32.984001159668
2015-11-11,33.1624984741211,33.7980003356934,33.1624984741211,33.6624984741211,107746000,33.6624984741211
2015-11-12,33.6500015258789,33.7820014953613,33.2109985351562,33.2799987792969,85694000,33.2799987792969
2015-11-13,33.1785011291504,33.3499984741211,32.0224990844727,32.1175003051758,125222000,32.1175003051758
2015-11-16,32.0460014343262,32.4995002746582,31.1145000457764,32.3904991149902,148718000,32.3904991149902
2015-11-17,32.5325012207031,32.6624984741211,32.0499992370605,32.1650009155273,86404000,32.1650009155273
2015-11-18,32.3255004882812,33.2439994812012,32.3185005187988,33.1769981384277,89396000,33.1769981384277
2015-11-19,33.2495002746582,33.6430015563965,32.9500007629395,33.0634994506836,94104000,33.0634994506836
2015-11-20,33.3969993591309,33.4435005187988,32.8785018920898,33.4225006103516,77922000,33.4225006103516
2015-11-23,33.5750007629395,34.138500213623,33.5060005187988,33.9495010375977,87702000,33.9495010375977
2015-11-24,33.7070007324219,33.7900009155273,33.0605010986328,33.5574989318848,90868000,33.5574989318848
2015-11-25,33.75,33.9850006103516,33.5620002746582,33.7669982910156,53958000,33.7669982910156
2015-11-27,34.0400009155273,34.0494995117188,33.6049995422363,33.6629981994629,39336000,33.6629981994629
2015-11-30,33.7949981689453,34.0644989013672,33.2299995422363,33.2400016784668,113864000,33.2400016784668
2015-12-01,33.6875,34.0499992370605,33.3930015563965,33.9529991149902,95024000,33.9529991149902
2015-12-02,34.0499992370605,34.2410011291504,33.7125015258789,33.8004989624023,85470000,33.8004989624023
2015-12-03,33.9720001220703,34.1394996643066,33.0740013122559,33.3125,101294000,33.3125
