Index,EA.Open,EA.High,EA.Low,EA.Close,EA.Volume,EA.Adjusted
2015-10-13,68,69.1500015258789,67.3399963378906,68.4199981689453,3374800,66.7464370727539
2015-10-14,68.379997253418,71.3000030517578,68.0899963378906,70.5699996948242,4007000,68.843864440918
2015-10-15,71.0199966430664,71.4899978637695,70.1800003051758,70.9700012207031,2690800,69.2340850830078
2015-10-16,70.7799987792969,71.7799987792969,70.2600021362305,71.7099990844727,2872100,69.9559860229492
2015-10-19,71.9000015258789,73.5400009155273,71.5100021362305,72.2900009155273,3500000,70.5218048095703
2015-10-20,72.5999984741211,73.0899963378906,71.3000030517578,72.3000030517578,2169400,70.5315475463867
2015-10-21,72.6800003051758,73.4400024414062,72,72.7900009155273,2332400,71.0095596313477
2015-10-22,73.0999984741211,74.8499984741211,73.0199966430664,74.5400009155273,2980900,72.7167663574219
2015-10-23,75,75.4899978637695,74.4400024414062,74.9199981689453,3279000,73.0874633789062
2015-10-26,75,75.4300003051758,73.7600021362305,74.0800018310547,2476000,72.2680130004883
2015-10-27,73.9100036621094,75.5800018310547,73.6999969482422,75.2699966430664,2693600,73.4288864135742
2015-10-28,76,76.8000030517578,75.0699996948242,76.7699966430664,3323800,74.8922348022461
2015-10-29,76.5,76.9199981689453,75.3600006103516,76.0599975585938,3248000,74.199577331543
2015-10-30,75,75.5999984741211,70.629997253418,72.0699996948242,11133200,70.3071670532227
2015-11-02,72.5999984741211,74.8899993896484,71.879997253418,72,4709900,70.2388763427734
2015-11-03,71.8199996948242,72.7399978637695,70.3399963378906,71.9000015258789,4237400,70.1413497924805
2015-11-04,71.9300003051758,74.3199996948242,71.7300033569336,74.2900009155273,3574100,72.4728775024414
2015-11-05,74.75,74.9300003051758,73.120002746582,74.0599975585938,2057100,72.2485122680664
2015-11-06,73.8300018310547,74.1900024414062,72.2399978637695,72.379997253418,3192400,70.6095886230469
2015-11-09,72.370002746582,72.379997253418,70.1600036621094,70.9400024414062,3036100,69.2047882080078
2015-11-10,70.5999984741211,70.9400024414062,69.8499984741211,70.8300018310547,2150500,69.0975189208984
2015-11-11,70.7900009155273,71.6999969482422,69.870002746582,71.3000030517578,2307200,69.5560150146484
2015-11-12,71.3600006103516,72.6999969482422,70.5400009155273,71.6600036621094,3083100,69.9072113037109
2015-11-13,71.3099975585938,72.0400009155273,69.8399963378906,69.8899993896484,3557400,68.1804962158203
2015-11-16,69.9800033569336,70.1600036621094,66.6800003051758,67.9899978637695,6314500,66.3269577026367
2015-11-17,65.0800018310547,69.0599975585938,64.9100036621094,68.0999984741211,5890600,66.4342727661133
