Index,CNY=X.Open,CNY=X.High,CNY=X.Low,CNY=X.Close,CNY=X.Volume,CNY=X.Adjusted
2015-10-12,6.31300020217896,6.33290004730225,6.31300020217896,6.31300020217896,0,6.31300020217896
2015-10-13,6.33230018615723,6.33780002593994,6.33230018615723,6.33230018615723,0,6.33230018615723
2015-10-14,6.33769989013672,6.3383002281189,6.33139991760254,6.33769989013672,0,6.33769989013672
2015-10-15,6.33620023727417,6.34859991073608,6.33620023727417,6.33620023727417,0,6.33620023727417
2015-10-18,6.34259986877441,6.35349988937378,6.34259986877441,6.34259986877441,0,6.34259986877441
2015-10-19,6.35010004043579,6.3585000038147,6.3358998298645,6.35010004043579,0,6.35010004043579
2015-10-20,6.33839988708496,6.33930015563965,6.33300018310547,6.33839988708496,0,6.33839988708496
2015-10-21,6.33930015563965,6.34800004959106,6.33559989929199,6.33930015563965,0,6.33930015563965
2015-10-22,6.34800004959106,6.35099983215332,6.3390998840332,6.34800004959106,0,6.34800004959106
2015-10-26,6.3390998840332,6.34320020675659,6.3390998840332,6.3390998840332,0,6.3390998840332
2015-10-27,6.34320020675659,6.34320020675659,6.3383002281189,6.34320020675659,0,6.34320020675659
2015-10-28,6.34320020675659,6.34929990768433,6.34320020675659,6.34320020675659,0,6.34320020675659
2015-10-29,6.34929990768433,6.35010004043579,6.34310007095337,6.34929990768433,0,6.34929990768433
2015-10-30,6.3467001914978,6.3467001914978,6.30810022354126,6.3467001914978,0,6.3467001914978
2015-11-02,6.30810022354126,6.33570003509521,6.30810022354126,6.30810022354126,0,6.30810022354126
2015-11-03,6.32740020751953,6.33129978179932,6.32410001754761,6.32740020751953,0,6.32740020751953
2015-11-04,6.32609987258911,6.33279991149902,6.32250022888184,6.32609987258911,0,6.32609987258911
2015-11-05,6.32590007781982,6.33640003204346,6.32590007781982,6.32590007781982,0,6.32590007781982
2015-11-06,6.33620023727417,6.34439992904663,6.33620023727417,6.33620023727417,0,6.33620023727417
2015-11-09,6.34310007095337,6.35220003128052,6.34310007095337,6.34310007095337,0,6.34310007095337
2015-11-10,6.35220003128052,6.35220003128052,6.34679985046387,6.35220003128052,0,6.35220003128052
2015-11-11,6.35179996490479,6.35820007324219,6.34940004348755,6.35179996490479,0,6.35179996490479
2015-11-12,6.35750007629395,6.35930013656616,6.35540008544922,6.35750007629395,0,6.35750007629395
2015-11-13,6.35930013656616,6.36639976501465,6.35890007019043,6.35930013656616,0,6.35930013656616
2015-11-16,6.36380004882812,6.36380004882812,6.35270023345947,6.36380004882812,0,6.36380004882812
2015-11-17,6.36119985580444,6.3685998916626,6.35890007019043,6.36119985580444,0,6.36119985580444
2015-11-18,6.3685998916626,6.37519979476929,6.3685998916626,6.3685998916626,0,6.3685998916626
2015-11-19,6.37489986419678,6.37489986419678,6.36450004577637,6.37489986419678,0,6.37489986419678
2015-11-20,6.3730001449585,6.375,6.36969995498657,6.3730001449585,0,6.3730001449585
2015-11-23,6.375,6.38100004196167,6.375,6.375,0,6.375
2015-11-24,6.37930011749268,6.38019990921021,6.37769985198975,6.37930011749268,0,6.37930011749268
2015-11-25,6.37979984283447,6.37979984283447,6.37739992141724,6.37979984283447,0,6.37979984283447
2015-11-26,6.37919998168945,6.37979984283447,6.37900018692017,6.37919998168945,0,6.37919998168945
2015-11-27,6.37960004806519,6.38759994506836,6.37960004806519,6.37960004806519,0,6.37960004806519
2015-11-30,6.38500022888184,6.38859987258911,6.38500022888184,6.38500022888184,0,6.38500022888184
2015-12-01,6.38819980621338,6.38889980316162,6.38810014724731,6.38819980621338,0,6.38819980621338
2015-12-02,6.38880014419556,6.38880014419556,6.38770008087158,6.38880014419556,0,6.38880014419556
2015-12-03,6.38880014419556,6.38929986953735,6.38749980926514,6.38880014419556,0,6.38880014419556
2015-12-04,6.38749980926514,6.39300012588501,6.37949991226196,6.38749980926514,0,6.38749980926514
2015-12-07,6.39109992980957,6.3983998298645,6.39109992980957,6.39109992980957,0,6.39109992980957
2015-12-08,6.39820003509521,6.40840005874634,6.39820003509521,6.39820003509521,0,6.39820003509521
2015-12-09,6.40719985961914,6.41800022125244,6.40719985961914,6.40719985961914,0,6.40719985961914
2015-12-10,6.41800022125244,6.43009996414185,6.41800022125244,6.41800022125244,0,6.41800022125244
2015-12-11,6.42780017852783,6.44530010223389,6.42780017852783,6.42780017852783,0,6.42780017852783
