Index,TQQQ.Open,TQQQ.High,TQQQ.Low,TQQQ.Close,TQQQ.Volume,TQQQ.Adjusted
2015-10-13,2.06041693687439,2.12437510490417,2.04999995231628,2.05520796775818,212966400,1.96217560768127
2015-10-14,2.05583310127258,2.08687496185303,2.01999998092651,2.04645800590515,183331200,1.95382153987885
2015-10-15,2.06854200363159,2.14687490463257,2.06062507629395,2.14645791053772,214569600,2.0492947101593
2015-10-16,2.16062498092651,2.17708301544189,2.12916707992554,2.17312502861023,132643200,2.07475423812866
2015-10-19,2.16312503814697,2.21562504768372,2.15104198455811,2.21208310127258,163622400,2.11194920539856
2015-10-20,2.19875001907349,2.21354198455811,2.15458297729492,2.17541694641113,145252800,2.07694339752197
2015-10-21,2.20958304405212,2.21583294868469,2.13416695594788,2.14041709899902,176496000,2.04352712631226
2015-10-22,2.19395804405212,2.27270793914795,2.17562508583069,2.26729202270508,259752000,2.16465902328491
2015-10-23,2.45020794868469,2.48562502861023,2.41354203224182,2.45583295822144,204057600,2.34466576576233
2015-10-26,2.45270800590515,2.47666692733765,2.42499995231628,2.46312499046326,119889600,2.35162734985352
2015-10-27,2.44312500953674,2.48791694641113,2.44104194641113,2.47916698455811,104462400,2.366943359375
2015-10-28,2.49041700363159,2.53833293914795,2.42895793914795,2.53666710853577,208958400,2.42184042930603
2015-10-29,2.50375008583069,2.53958296775818,2.49645805358887,2.52729201316833,99825600,2.41288948059082
2015-10-30,2.53062510490417,2.54375004768372,2.4925000667572,2.49270796775818,120072000,2.37987089157104
2015-11-02,2.51125001907349,2.58604192733765,2.49729204177856,2.57770800590515,110601600,2.46102356910706
2015-11-03,2.56187510490417,2.63208293914795,2.54999995231628,2.60229206085205,123624000,2.48449468612671
2015-11-04,2.62812495231628,2.63541698455811,2.57229208946228,2.60333299636841,145833600,2.4854884147644
2015-11-05,2.61124992370605,2.63041710853577,2.54291701316833,2.5804169178009,142252800,2.46360993385315
2015-11-06,2.56958293914795,2.59729194641113,2.51854205131531,2.58895802497864,136248000,2.471764087677
2015-11-09,2.55895805358887,2.56937503814697,2.45791697502136,2.50562500953674,151315200,2.39220380783081
2015-11-10,2.46562504768372,2.49312496185303,2.44374990463257,2.48791694641113,98721600,2.37529683113098
2015-11-11,2.50687503814697,2.54270792007446,2.46458292007446,2.4768750667572,100828800,2.36475443840027
2015-11-12,2.4449999332428,2.48229193687439,2.39958310127258,2.40499997138977,137928000,2.29613351821899
2015-11-13,2.37479209899902,2.38187503814697,2.25958299636841,2.26354193687439,197697600,2.16107869148254
2015-11-16,2.25604200363159,2.36145806312561,2.24020791053772,2.35791707038879,185544000,2.25118207931519
2015-11-17,2.37229204177856,2.41583299636841,2.34687495231628,2.36604189872742,221414400,2.25893926620483
2015-11-18,2.39270806312561,2.50833296775818,2.38645792007446,2.50166702270508,196276800,2.38842487335205
2015-11-19,2.50583291053772,2.54041695594788,2.4925000667572,2.50541710853577,103958400,2.39200520515442
2015-11-20,2.54041695594788,2.5625,2.53416705131531,2.55520796775818,101995200,2.43954205513
2015-11-23,2.55833292007446,2.58750009536743,2.5022919178009,2.53458309173584,112876800,2.41985082626343
2015-11-24,2.48541688919067,2.54562497138977,2.44645810127258,2.52666711807251,132494400,2.41229319572449
2015-11-25,2.53645801544189,2.54833292961121,2.51874995231628,2.53229188919067,55977600,2.41766357421875
2015-11-27,2.55041694641113,2.55999994277954,2.51874995231628,2.54145789146423,27206400,2.42641472816467
2015-11-30,2.56687498092651,2.56729197502136,2.50041699409485,2.52541708946228,93273600,2.41109943389893
2015-12-01,2.55375003814697,2.60041689872742,2.54562497138977,2.60041689872742,117043200,2.48270440101624
2015-12-02,2.60541701316833,2.64041709899902,2.53979206085205,2.55312490463257,122092800,2.43755388259888
2015-12-03,2.57333302497864,2.58479189872742,2.37833309173584,2.42291688919067,225912000,2.31323957443237
2015-12-04,2.44354200363159,2.60416698455811,2.42916703224182,2.58937501907349,173289600,2.47216248512268
2015-12-07,2.59708309173584,2.6018750667572,2.51979207992554,2.55770802497864,138451200,2.44192910194397
2015-12-08,2.47666692733765,2.58145809173584,2.47354197502136,2.55791711807251,162600000,2.44212818145752
2015-12-09,2.52166700363159,2.56500005722046,2.39520788192749,2.43875002861023,289732800,2.32835578918457
2015-12-10,2.45645809173584,2.52166700363159,2.43499994277954,2.47333288192749,162926400,2.36137270927429
2015-12-11,2.38770794868469,2.40687489509583,2.29833292961121,2.30375003814697,294873600,2.19946694374084
2015-12-14,2.31375002861023,2.35750007629395,2.21416711807251,2.35541701316833,232344000,2.24879503250122
2015-12-15,2.41583299636841,2.45812511444092,2.38875007629395,2.39541697502136,191558400,2.28698372840881
2015-12-16,2.44604206085205,2.51604199409485,2.37291693687439,2.50125002861023,196512000,2.38802671432495
2015-12-17,2.53458309173584,2.53666710853577,2.39395809173584,2.39708304405212,189513600,2.28857493400574
2015-12-18,2.37124991416931,2.38812494277954,2.26041698455811,2.26541709899902,204955200,2.16286897659302
2015-12-21,2.32145810127258,2.33291697502136,2.27062511444092,2.33270788192749,128059200,2.22711372375488
2015-12-22,2.36916708946228,2.38729190826416,2.33187508583069,2.37687492370605,134044800,2.26928162574768
2015-12-23,2.41416692733765,2.43499994277954,2.40104198455811,2.43125009536743,109896000,2.32119560241699
2015-12-24,2.42916703224182,2.44875001907349,2.42499995231628,2.42624998092651,48480000,2.31642198562622
2015-12-28,2.40916705131531,2.42562508583069,2.35812497138977,2.42562508583069,102672000,2.31582474708557
2015-12-29,2.46770811080933,2.55458307266235,2.46270799636841,2.53625011444092,145305600,2.42144227027893
2015-12-30,2.53166699409485,2.53479194641113,2.46958303451538,2.47145795822144,89592000,2.35958290100098
2015-12-31,2.44458293914795,2.45770788192749,2.37708306312561,2.37979197502136,175905600,2.27206659317017
2016-01-04,2.22125005722046,2.234375,2.14041709899902,2.234375,265867200,2.13323211669922
2016-01-05,2.26041698455811,2.26937508583069,2.18416690826416,2.21437501907349,132326400,2.11413717269897
2016-01-06,2.10374999046326,2.18854188919067,2.10083293914795,2.15499997138977,243787200,2.05745053291321
2016-01-07,2.01458311080933,2.09375,1.94708299636841,1.95000004768372,340348800,1.86172997951508
2016-01-08,1.99229204654694,2.02854204177856,1.89520800113678,1.90395796298981,331819200,1.81777191162109
2016-01-11,1.94354200363159,1.95895802974701,1.83124995231628,1.92062497138977,336177600,1.83368468284607
2016-01-12,1.97229194641113,2.01520800590515,1.90416705608368,1.98541700839996,317520000,1.89554357528687
2016-01-13,2.00937509536743,2.02333307266235,1.77083301544189,1.77770805358887,413400000,1.69723701477051
2016-01-14,1.80020797252655,1.94062495231628,1.71458303928375,1.89270794391632,363417600,1.80703139305115
2016-01-15,1.70375001430511,1.77708303928375,1.6443749666214,1.71875,564715200,1.64094793796539
2016-01-19,1.78604197502136,1.79416704177856,1.66687500476837,1.72604203224182,259228800,1.64790964126587
2016-01-20,1.64499998092651,1.76625001430511,1.53208303451538,1.71041703224182,554697600,1.63299202919006
2016-01-21,1.73187494277954,1.79187500476837,1.66375005245209,1.71666705608368,338112000,1.6389594078064
2016-01-22,1.81770801544189,1.86749994754791,1.80229198932648,1.86458301544189,286881600,1.78017950057983
2016-01-25,1.84791696071625,1.87687504291534,1.77708303928375,1.78062498569489,277084800,1.7000218629837
