Index,SNOW.Open,SNOW.High,SNOW.Low,SNOW.Close,SNOW.Volume,SNOW.Adjusted
2023-12-21,195.5,196.949996948242,193.742004394531,196.789993286133,4213700,196.789993286133
2023-12-22,197.020004272461,198.020004272461,194.100006103516,195.669998168945,2446600,195.669998168945
2023-12-26,195.899993896484,199.319000244141,193.800003051758,198.559997558594,3639400,198.559997558594
2023-12-27,200,200.970001220703,197.039993286133,198.710006713867,4957200,198.710006713867
2023-12-28,198.779998779297,201.740005493164,197.699996948242,201.229995727539,3823800,201.229995727539
2023-12-29,200,201.880004882812,198.339996337891,199,3596800,199
2024-01-02,195,196.229995727539,187.529998779297,189.119995117188,5173300,189.119995117188
2024-01-03,185,187.35400390625,183.009994506836,184.210006713867,4292000,184.210006713867
2024-01-04,182.289993286133,187.149993896484,180.953002929688,183.720001220703,4270300,183.720001220703
2024-01-05,184.570007324219,191.410003662109,184.570007324219,189.119995117188,5266800,189.119995117188
2024-01-08,190.770004272461,196.899993896484,190.770004272461,196.350006103516,4562000,196.350006103516
2024-01-09,195.649993896484,198.270004272461,194.75,196.899993896484,3153600,196.899993896484
2024-01-10,197.279998779297,200.539993286133,194.649993896484,197.399993896484,4179600,197.399993896484
2024-01-11,199.199996948242,201.600006103516,195.529998779297,195.619995117188,5012600,195.619995117188
2024-01-12,190,196.080001831055,189.22200012207,191.259994506836,4979100,191.259994506836
2024-01-16,190,191.205001831055,186.574005126953,188.020004272461,4833400,188.020004272461
2024-01-17,185.770004272461,188.139999389648,182.529998779297,188.119995117188,3756700,188.119995117188
2024-01-18,190.770004272461,191.539993286133,184.389999389648,186.610000610352,4990000,186.610000610352
2024-01-19,187.589996337891,193.139999389648,186.720001220703,193.119995117188,4520500,193.119995117188
2024-01-22,196.75,202.320007324219,196.509994506836,199.080001831055,6471900,199.080001831055
2024-01-23,200,205.970001220703,197.589996337891,205.580001831055,8763300,205.580001831055
2024-01-24,209.179992675781,211.649993896484,203.485000610352,203.809997558594,8127800,203.809997558594
2024-01-25,205.360000610352,209.473007202148,202.75,206.009994506836,4804200,206.009994506836
2024-01-26,203.75,205.490005493164,201.199996948242,202.509994506836,3799100,202.509994506836
2024-01-29,201.910003662109,210.263000488281,201.399993896484,209.539993286133,5288700,209.539993286133
2024-01-30,208.639999389648,209.979995727539,204.809997558594,206.25,4415400,206.25
2024-01-31,201.5,203.289993286133,194.869995117188,195.639999389648,6296800,195.639999389648
2024-02-01,197,200.330001831055,195.339996337891,199.940002441406,3260600,199.940002441406
2024-02-02,208.639999389648,219.740005493164,204.050003051758,218.759994506836,11902000,218.759994506836
2024-02-05,217.110000610352,220.673004150391,210.539993286133,215.600006103516,5552600,215.600006103516
2024-02-06,217.5,218.5,208.505004882812,213.679992675781,5153000,213.679992675781
2024-02-07,214.009994506836,219.399993896484,212.75,218.229995727539,3921000,218.229995727539
2024-02-08,219.300003051758,226.289993286133,218.300003051758,222.899993896484,6119900,222.899993896484
