Index,DELL.Open,DELL.High,DELL.Low,DELL.Close,DELL.Volume,DELL.Adjusted
2016-08-17,12.2079973220825,12.3483190536499,12.0676755905151,12.0676755905151,271519,11.0145044326782
2016-08-18,12.3483190536499,12.3483190536499,11.9273538589478,11.9975147247314,1767366,10.9504652023315
2016-08-19,11.9834823608398,12.2079973220825,11.9694499969482,12.2079973220825,4735900,11.1425838470459
2016-08-22,12.0676755905151,12.7973489761353,11.9554176330566,12.2500944137573,2245909,11.181004524231
2016-08-23,12.2781581878662,12.8815422058105,12.2079973220825,12.628963470459,1483020,11.5268087387085
2016-08-24,14.0321807861328,14.0321807861328,12.6570272445679,12.7973489761353,2525979,11.6804971694946
2016-08-25,12.9797668457031,12.9797668457031,12.6570272445679,12.7440271377563,371646,11.6318292617798
2016-08-26,12.8955736160278,12.8955736160278,12.7664775848389,12.8394451141357,223415,11.718918800354
2016-08-29,12.8534784317017,13.1902503967285,12.8534784317017,12.9937992095947,1390019,11.859806060791
2016-08-30,12.9797668457031,13.1200885772705,12.5026731491089,12.6710586547852,4805026,11.5652294158936
2016-08-31,12.558801651001,12.6570272445679,12.3483190536499,12.5391569137573,9033877,11.4448385238647
2016-09-01,13.3446035385132,13.3446035385132,12.2079973220825,12.2079973220825,9048130,11.1425838470459
2016-09-02,12.3230609893799,12.3230609893799,11.9834823608398,12.0620632171631,8127033,11.0093822479248
2016-09-06,12.1378364562988,12.9797668457031,11.7926454544067,12.7552518844604,56316264,11.6420764923096
2016-09-07,12.6486082077026,13.8581819534302,12.634575843811,13.4708938598633,147907159,12.2952604293823
2016-09-08,13.5971832275391,14.2819538116455,13.5859565734863,14.119179725647,41159318,12.8869714736938
2016-09-09,13.984471321106,14.0798902511597,13.5073766708374,13.7739887237549,26618101,12.5719051361084
2016-09-12,13.4877319335938,13.9479875564575,13.3895072937012,13.8637952804565,13989272,12.6538743972778
2016-09-13,13.5073766708374,13.9311485290527,13.4736995697021,13.6112146377563,18045663,12.4233369827271
2016-09-14,13.5803451538086,13.6448926925659,13.4708938598633,13.5691194534302,17208658,12.3849153518677
2016-09-15,13.5045709609985,13.7599573135376,13.4765062332153,13.7206659317017,17208302,12.5232362747192
2016-09-16,13.6476993560791,13.7487306594849,13.5045709609985,13.6027956008911,17786615,12.4156522750854
2016-09-19,13.5382480621338,13.7206659317017,13.515796661377,13.6841831207275,16264400,12.4899377822876
2016-09-20,13.6645383834839,13.7346992492676,13.5186033248901,13.675763130188,12000986,12.4822521209717
2016-09-21,13.5775375366211,13.751537322998,13.546667098999,13.5887641906738,14885427,12.4028453826904
2016-09-22,13.6084089279175,13.6813764572144,13.4456357955933,13.4793128967285,17054370,12.3029451370239
2016-09-23,13.4344100952148,13.6027956008911,13.4203777313232,13.4736995697021,7449305,12.2978219985962
2016-09-26,13.39231300354,13.4877319335938,13.3810882568359,13.4400234222412,10128504,12.2670850753784
2016-09-27,13.4091520309448,13.4652805328369,13.3726682662964,13.4119577407837,9831330,12.2414703369141
2016-09-28,13.4372158050537,13.5017642974854,13.3389911651611,13.431604385376,8013722,12.2594022750854
2016-09-29,13.361442565918,13.4512491226196,13.3333778381348,13.3502168655396,5912124,12.1851167678833
2016-09-30,13.4091520309448,13.4989576339722,13.3474102020264,13.4147653579712,6165827,12.2440338134766
2016-10-03,13.36705493927,13.4849262237549,13.3558301925659,13.4512491226196,5345926,12.2773323059082
2016-10-04,13.4231843948364,13.4708938598633,13.3642492294312,13.431604385376,5993010,12.2594022750854
2016-10-05,13.3979263305664,13.7122468948364,13.3305721282959,13.6027956008911,6621209,12.4156522750854
2016-10-06,13.6027956008911,13.6308603286743,13.4624738693237,13.5803451538086,5139258,12.3951635360718
2016-10-07,13.5803451538086,13.6027956008911,13.4540548324585,13.4905385971069,3515134,12.313193321228
2016-10-10,13.4905385971069,13.5831508636475,13.2884750366211,13.3361854553223,5420398,12.1723098754883
2016-10-11,13.2351531982422,13.3951196670532,13.1790237426758,13.2295398712158,6247425,12.0749702453613
2016-10-12,13.1790237426758,13.3165397644043,13.122896194458,13.2211208343506,5851549,12.0672874450684
2016-10-13,13.1621856689453,13.3165397644043,13.0892181396484,13.226734161377,4783291,12.0724105834961
2016-10-14,13.2547979354858,13.361442565918,13.1874437332153,13.2576036453247,5453179,12.1005868911743
2016-10-17,13.2632169723511,13.3754749298096,13.1986694335938,13.2997007369995,4813222,12.1390104293823
2016-10-18,13.3446035385132,13.4147653579712,13.1902503967285,13.3810882568359,5366949,12.2132949829102
2016-10-19,13.3446035385132,13.4821186065674,13.3361854553223,13.3895072937012,4452266,12.2209787368774
2016-10-20,13.3193464279175,13.4259910583496,13.3109273910522,13.386700630188,3849010,12.2184162139893
2016-10-21,13.3193464279175,13.3642492294312,13.212700843811,13.2576036453247,3461329,12.1005868911743
2016-10-24,13.3586359024048,13.4989576339722,13.3221521377563,13.4540548324585,3621319,12.2798929214478
2016-10-25,13.3951196670532,13.4540548324585,13.1425409317017,13.1874437332153,5398662,12.0365505218506
2016-10-26,13.1481533050537,13.2884750366211,13.0892181396484,13.1116695404053,5900722,11.9673871994019
2016-10-27,13.8694076538086,13.9620199203491,13.4821186065674,13.5635061264038,25078425,12.3797903060913
2016-10-28,13.5017642974854,13.7992467880249,13.4680871963501,13.7150535583496,13622259,12.5181131362915
2016-10-31,13.751537322998,13.8890533447266,13.701021194458,13.7767953872681,12164182,12.5744657516479
2016-11-01,13.7880210876465,13.8862457275391,13.541054725647,13.6027956008911,7967400,12.4156522750854
2016-11-02,13.5382480621338,13.7796020507812,13.5242156982422,13.751537322998,6557427,12.5514116287231
2016-11-03,13.7403106689453,13.8722143173218,13.6056032180786,13.6869888305664,4763693,12.4924983978271
2016-11-04,13.6448926925659,13.8132791519165,13.6112146377563,13.6448926925659,6307644,12.4540748596191
2016-11-07,13.7206659317017,14.0321807861328,13.7206659317017,13.8974723815918,4566646,12.6846122741699
2016-11-08,13.8974723815918,14.015341758728,13.8862457275391,13.9423751831055,3322719,12.7255964279175
2016-11-09,13.6420860290527,13.9985036849976,13.5999898910522,13.855375289917,5840503,12.6461896896362
2016-11-10,13.8525686264038,14.0462131500244,13.6364727020264,13.8245048522949,5971274,12.6180114746094
2016-11-11,13.8076658248901,13.8778266906738,13.7038278579712,13.7936344146729,3162017,12.5898370742798
2016-11-14,13.7908267974854,13.905891418457,13.5747318267822,13.7487306594849,3504801,12.5488510131836
2016-11-15,13.7599573135376,14.1247930526733,13.701021194458,14.0546321868896,6991429,12.8280563354492
2016-11-16,13.9956970214844,14.2651147842407,13.9536008834839,14.2145986557007,4996372,12.9740629196167
2016-11-17,14.1921482086182,14.6355648040771,14.1725034713745,14.5373392105103,5726123,13.2686376571655
2016-11-18,14.5317258834839,14.6888866424561,14.5092754364014,14.5906620025635,4201058,13.3173065185547
2016-11-21,14.5654039382935,14.792724609375,14.5654039382935,14.7169513702393,3149190,13.4325752258301
2016-11-22,14.7618541717529,14.8320150375366,14.4671783447266,14.6187257766724,2856648,13.342921257019
2016-11-23,14.5373392105103,14.6888866424561,14.4194688796997,14.4643716812134,2990982,13.2020349502563
2016-11-25,14.4278879165649,14.7113380432129,14.4110498428345,14.6467895507812,905062,13.3685350418091
2016-11-28,14.5934677124023,14.7057256698608,14.5373392105103,14.632758140564,2637865,13.3557281494141
2016-11-29,14.5990810394287,15.0088205337524,14.5990810394287,14.9498853683472,4771176,13.6451797485352
2016-11-30,15.0284662246704,15.0705623626709,14.9246282577515,15.0312719345093,5082603,13.71946144104
2016-12-01,15.0284662246704,15.0565299987793,14.3857917785645,14.5597906112671,8015860,13.2891283035278
2016-12-02,14.5064687728882,14.8713054656982,14.3184366226196,14.8039512634277,4767969,13.511981010437
2016-12-05,14.8235960006714,14.9947881698608,14.7422094345093,14.8909502029419,6389955,13.5913887023926
2016-12-06,14.8235960006714,15.0144338607788,14.792724609375,14.9779500961304,5912124,13.6707925796509
2016-12-07,14.9358530044556,15.1996583938599,14.837628364563,15.126690864563,9804606,13.8065538406372
2016-12-08,15.0902070999146,15.4073352813721,14.9583053588867,15.1323041915894,8274908,13.8116769790649
2016-12-09,15.1098518371582,15.2950773239136,15.0368852615356,15.1463356018066,5978401,13.8244857788086
2016-12-12,15.1547546386719,15.2193031311035,14.8965625762939,15.126690864563,5849055,13.8065538406372
2016-12-13,15.1126594543457,15.2950773239136,15.0677556991577,15.0902070999146,4376369,13.7732534408569
2016-12-14,15.0593357086182,15.2838506698608,15.022852897644,15.2136898040771,6546737,13.8859615325928
2016-12-15,15.2950773239136,15.9966859817505,15.2585926055908,15.92933177948,12845829,14.5391473770142
2016-12-16,15.8956537246704,15.9517831802368,15.6514949798584,15.8395261764526,21293198,14.457179069519
2016-12-19,15.7581386566162,15.9153003692627,15.6683330535889,15.825493812561,4347863,14.4443702697754
2016-12-20,15.8816223144531,16.0640411376953,15.8563642501831,16.0107173919678,5251500,14.6134300231934
2016-12-21,15.9377508163452,16.179105758667,15.8451385498047,16.0780735015869,3799124,14.6749057769775
2016-12-22,16.0107173919678,16.0107173919678,15.5673007965088,15.6711397171021,5606755,14.30348777771
2016-12-23,15.5925588607788,15.7721710205078,15.5757207870483,15.7412996292114,2123334,14.3675241470337
