Index,SE.Open,SE.High,SE.Low,SE.Close,SE.Volume,SE.Adjusted
2019-12-19,37.75,39.2000007629395,37.6300010681152,38.8199996948242,5935600,38.8199996948242
2019-12-20,39,39.1319999694824,38.0550003051758,39.0099983215332,3741900,39.0099983215332
2019-12-23,38.7200012207031,39.3600006103516,38.5200004577637,38.8499984741211,2662200,38.8499984741211
2019-12-24,38.9900016784668,39.4500007629395,38.75,39.1199989318848,702900,39.1199989318848
2019-12-26,39.0999984741211,39.4970016479492,38.8800010681152,39.0800018310547,1921700,39.0800018310547
2019-12-27,39.3699989318848,39.5900001525879,38.7700004577637,39.2999992370605,1530100,39.2999992370605
2019-12-30,39.8600006103516,40,38.3400001525879,39.2099990844727,3066100,39.2099990844727
2019-12-31,38.9799995422363,40.625,38.810001373291,40.2200012207031,3517200,40.2200012207031
2020-01-02,41,41.189998626709,39.4599990844727,40.0400009155273,5857000,40.0400009155273
2020-01-03,39.439998626709,40.6500015258789,39.4000015258789,40.4900016784668,5237800,40.4900016784668
2020-01-06,40.0699996948242,41.0299987792969,40.0289993286133,40.4799995422363,4049200,40.4799995422363
2020-01-07,40.5,41.7999992370605,40.3499984741211,41.0099983215332,3947600,41.0099983215332
2020-01-08,41,41.3889999389648,40.0550003051758,40.1599998474121,3200800,40.1599998474121
2020-01-09,40.7900009155273,40.9000015258789,40.0400009155273,40.5299987792969,3129700,40.5299987792969
2020-01-10,40.7599983215332,40.9099998474121,39.3400001525879,39.5800018310547,3360900,39.5800018310547
2020-01-13,39.7099990844727,40.3650016784668,39.5999984741211,40.0200004577637,1647300,40.0200004577637
2020-01-14,40,40.2700004577637,39.1500015258789,39.939998626709,3445800,39.939998626709
2020-01-15,40.4000015258789,40.9500007629395,39.9099998474121,40.4199981689453,2312300,40.4199981689453
2020-01-16,40.6500015258789,41.0200004577637,40.1949996948242,40.9599990844727,2351500,40.9599990844727
2020-01-17,40.75,41.3400001525879,40.7000007629395,41.2799987792969,3217500,41.2799987792969
2020-01-21,41.0099983215332,41.4000015258789,40.3300018310547,41.310001373291,4195500,41.310001373291
2020-01-22,43.5499992370605,45.1500015258789,42.9000015258789,44.3600006103516,10448600,44.3600006103516
2020-01-23,44.25,45.0099983215332,43.742000579834,44.75,4141600,44.75
2020-01-24,46.060001373291,46.5,44.3499984741211,45.3300018310547,5869400,45.3300018310547
2020-01-27,42.5999984741211,44.4500007629395,42.5999984741211,44.3499984741211,3065600,44.3499984741211
2020-01-28,45,45.310001373291,44.5099983215332,45.0299987792969,1561300,45.0299987792969
2020-01-29,45.7599983215332,46.2900009155273,45.0299987792969,45.1399993896484,2059000,45.1399993896484
2020-01-30,44.7200012207031,45.6300010681152,44.5200004577637,45.5900001525879,1542000,45.5900001525879
2020-01-31,45.2799987792969,45.5750007629395,44.810001373291,45.2400016784668,2784500,45.2400016784668
2020-02-03,45.3699989318848,46.5,45.25,46.3699989318848,3350400,46.3699989318848
2020-02-04,46.9700012207031,47.109001159668,46.0699996948242,46.8199996948242,3841400,46.8199996948242
2020-02-05,47.5,47.5099983215332,45.7299995422363,45.810001373291,4292900,45.810001373291
2020-02-06,46.0800018310547,46.7750015258789,44.8450012207031,45.7200012207031,2679100,45.7200012207031
2020-02-07,46.5800018310547,46.7099990844727,45.5299987792969,46.2000007629395,3073100,46.2000007629395
2020-02-10,46.060001373291,46.2999992370605,44.9500007629395,45.1599998474121,3370300,45.1599998474121
2020-02-11,45.7099990844727,46.6699981689453,45.3849983215332,46.3400001525879,2793700,46.3400001525879
2020-02-12,46.5900001525879,47.1399993896484,46.439998626709,46.9300003051758,2096100,46.9300003051758
2020-02-13,47.0999984741211,48.4000015258789,47.0400009155273,47.9500007629395,7357200,47.9500007629395
2020-02-14,48.5,49.3300018310547,48.1599998474121,48.4900016784668,3698000,48.4900016784668
2020-02-18,49.2700004577637,49.8800010681152,48.7999992370605,49.8400001525879,5075800,49.8400001525879
2020-02-19,50.3400001525879,51.2099990844727,49.7799987792969,51.2000007629395,4737400,51.2000007629395
2020-02-20,51.1599998474121,52.5099983215332,50.8699989318848,52.5,9306800,52.5
2020-02-21,52.1699981689453,52.3899993896484,51.4500007629395,51.8499984741211,5698300,51.8499984741211
2020-02-24,48.6800003051758,49.4850006103516,46.9500007629395,48.2000007629395,8968100,48.2000007629395
2020-02-25,49.4599990844727,49.7900009155273,46.060001373291,46.7000007629395,6217700,46.7000007629395
2020-02-26,46.7700004577637,47.9099998474121,46.2799987792969,46.4199981689453,3198200,46.4199981689453
2020-02-27,45.0099983215332,46.9000015258789,43.310001373291,45.0699996948242,8820800,45.0699996948242
2020-02-28,43.6399993896484,45.5400009155273,43.5,45.060001373291,5054400,45.060001373291
2020-03-02,46.2099990844727,48.2200012207031,45.1500015258789,48.0400009155273,7254600,48.0400009155273
2020-03-03,49.5800018310547,51.5859985351562,48.2400016784668,48.9500007629395,10998400,48.9500007629395
2020-03-04,51,52.5800018310547,50.2000007629395,52.5200004577637,5619300,52.5200004577637
2020-03-05,51.0099983215332,52.7700004577637,50.3800010681152,52.560001373291,4239200,52.560001373291
2020-03-06,50.6599998474121,51.1699981689453,47.8600006103516,50.3499984741211,5801800,50.3499984741211
2020-03-09,45.9900016784668,47.1800003051758,44.9900016784668,45.9099998474121,7509400,45.9099998474121
2020-03-10,48,50.7700004577637,47.8199996948242,50.689998626709,7620700,50.689998626709
2020-03-11,49.0400009155273,50.5,47.2700004577637,48.0200004577637,3794000,48.0200004577637
2020-03-12,44,44.4000015258789,41.4700012207031,41.6300010681152,8734000,41.6300010681152
2020-03-13,44.9300003051758,45.1100006103516,42.3699989318848,44.5099983215332,6643200,44.5099983215332
2020-03-16,38.5,43.2900009155273,38.5,41.0800018310547,6871000,41.0800018310547
2020-03-17,41.8699989318848,45,40.5,44.2599983215332,5394200,44.2599983215332
2020-03-18,40.5400009155273,41.9599990844727,36.2799987792969,41.9599990844727,7571800,41.9599990844727
2020-03-19,41.0800018310547,41.310001373291,38.0200004577637,39.7000007629395,7276900,39.7000007629395
2020-03-20,41.7000007629395,42.3300018310547,37.9949989318848,38,5849000,38
2020-03-23,38.0999984741211,38.7599983215332,35.6100006103516,38.4500007629395,5627900,38.4500007629395
2020-03-24,41.7400016784668,43.75,41.2350006103516,42.8400001525879,6362200,42.8400001525879
2020-03-25,43.4700012207031,46.3600006103516,42.4900016784668,44.0400009155273,4203300,44.0400009155273
2020-03-26,45.3800010681152,46.4799995422363,44.6450004577637,45.7400016784668,5064900,45.7400016784668
2020-03-27,44.310001373291,46,43.5,43.9300003051758,4146800,43.9300003051758
2020-03-30,44,44.5,42.5,44.4599990844727,3071200,44.4599990844727
2020-03-31,44.1399993896484,45.1100006103516,43.7599983215332,44.310001373291,2682700,44.310001373291
2020-04-01,43,43.9300003051758,42.2200012207031,43.1699981689453,3713500,43.1699981689453
2020-04-02,42.7700004577637,44.7099990844727,42.6199989318848,44.5800018310547,2733000,44.5800018310547
2020-04-03,43.4000015258789,44.3899993896484,40.4099998474121,42.0999984741211,5554400,42.0999984741211
2020-04-06,43.9700012207031,45.75,43.7200012207031,44.7999992370605,3309500,44.7999992370605
2020-04-07,46.060001373291,46.7449989318848,44.5,45.2200012207031,4112800,45.2200012207031
2020-04-08,45.4000015258789,46.0999984741211,44.810001373291,45.4500007629395,1896200,45.4500007629395
2020-04-09,46.5,47.9000015258789,44.8499984741211,45.0699996948242,3650000,45.0699996948242
2020-04-13,44.7400016784668,47.560001373291,44.4599990844727,46.9900016784668,2664800,46.9900016784668
2020-04-14,47.7200012207031,50.6500015258789,47.5699996948242,50.2200012207031,4886500,50.2200012207031
2020-04-15,49.4700012207031,50.6199989318848,48.1100006103516,49.7799987792969,2414200,49.7799987792969
2020-04-16,51.5999984741211,54.4749984741211,51.4099998474121,53.9500007629395,6896400,53.9500007629395
2020-04-17,55.25,55.25,52.6699981689453,53.0200004577637,3781400,53.0200004577637
2020-04-20,52.4599990844727,54.9799995422363,52.25,54.2200012207031,2513000,54.2200012207031
2020-04-21,53.5400009155273,54.0400009155273,50.3499984741211,51.9799995422363,3771700,51.9799995422363
2020-04-22,54.1100006103516,55.0999984741211,52.8800010681152,54.0400009155273,3067900,54.0400009155273
2020-04-23,54.0999984741211,54.9169998168945,53.0699996948242,53.6300010681152,2737100,53.6300010681152
2020-04-24,54.2200012207031,54.7200012207031,53.5200004577637,54.3899993896484,2329900,54.3899993896484
2020-04-27,55.4599990844727,56,54.5099983215332,55.3400001525879,3311500,55.3400001525879
2020-04-28,56.4900016784668,56.7999992370605,52.7700004577637,53.2999992370605,4566800,53.2999992370605
2020-04-29,53.5699996948242,55.8300018310547,53.4300003051758,55.5200004577637,2828500,55.5200004577637
2020-04-30,56.1599998474121,56.75,55.3050003051758,55.5800018310547,2167600,55.5800018310547
2020-05-01,53.8899993896484,55.0400009155273,53.3499984741211,54.7799987792969,2053800,54.7799987792969
2020-05-04,53.8499984741211,55.7299995422363,53.8499984741211,55.2299995422363,2677200,55.2299995422363
2020-05-05,56.7700004577637,59.439998626709,55.9700012207031,57.9300003051758,4678600,57.9300003051758
2020-05-06,58.0499992370605,62.560001373291,57.6049995422363,61.689998626709,8235400,61.689998626709
2020-05-07,62.1100006103516,62.189998626709,57.7200012207031,60.3699989318848,6619500,60.3699989318848
2020-05-08,61.1599998474121,63.2999992370605,60.6699981689453,62.4900016784668,3231000,62.4900016784668
2020-05-11,61.8699989318848,63.7900009155273,61.5800018310547,62.9099998474121,3545000,62.9099998474121
2020-05-12,63,64.3899993896484,61.0699996948242,62.7000007629395,3724300,62.7000007629395
2020-05-13,63,64,60.689998626709,61.9799995422363,5419300,61.9799995422363
2020-05-14,61,61.5900001525879,59.2610015869141,61.5900001525879,5295700,61.5900001525879
2020-05-15,60.0900001525879,62.189998626709,60,61.9599990844727,6439600,61.9599990844727
2020-05-18,66,69.9499969482422,65.4300003051758,69.4899978637695,9972900,69.4899978637695
2020-05-19,69.75,72.8000030517578,68.0999984741211,68.2699966430664,14057000,68.2699966430664
2020-05-20,70,73.9700012207031,69.9000015258789,72.4000015258789,10281000,72.4000015258789
2020-05-21,72.4000015258789,78.5400009155273,72.2600021362305,77.8099975585938,11053800,77.8099975585938
2020-05-22,78.0100021362305,79.1920013427734,76.0699996948242,79,6901900,79
2020-05-26,81.0749969482422,83.8000030517578,80.6600036621094,83.1600036621094,7287900,83.1600036621094
2020-05-27,83.6900024414062,83.75,73.9300003051758,78.9100036621094,11287600,78.9100036621094
2020-05-28,77.9800033569336,80.370002746582,75.2799987792969,75.6600036621094,6485800,75.6600036621094
2020-05-29,76.0299987792969,79.8899993896484,75.1100006103516,79.8000030517578,4958100,79.8000030517578
2020-06-01,80.0800018310547,82.620002746582,80.0800018310547,82.4700012207031,4527000,82.4700012207031
2020-06-02,83,86.8600006103516,82.5199966430664,86.8600006103516,4726400,86.8600006103516
2020-06-03,87.1800003051758,88.1600036621094,86.129997253418,88.0699996948242,6449700,88.0699996948242
2020-06-04,88,88.1999969482422,83.6800003051758,85.3099975585938,5842700,85.3099975585938
2020-06-05,86.5199966430664,89.9400024414062,85.6100006103516,89.6999969482422,5178900,89.6999969482422
2020-06-08,90,93.1800003051758,89.7799987792969,90.879997253418,6408000,90.879997253418
2020-06-09,90.7200012207031,91.5800018310547,89.6399993896484,90.7799987792969,3750800,90.7799987792969
2020-06-10,91.5199966430664,92.9300003051758,89.9400024414062,92.1600036621094,4520400,92.1600036621094
2020-06-11,90,91.6650009155273,86.5999984741211,88.5800018310547,7983400,88.5800018310547
2020-06-12,92,94.5199966430664,90.5599975585938,92.9800033569336,4234300,92.9800033569336
2020-06-15,91.2799987792969,98.6800003051758,90.629997253418,97.25,5158200,97.25
2020-06-16,102.48999786377,102.48999786377,96.8600006103516,100.800003051758,5710200,100.800003051758
2020-06-17,99.5699996948242,107.919998168945,99.5,106.809997558594,7328200,106.809997558594
2020-06-18,109,109.800003051758,102.519996643066,106.480003356934,6714400,106.480003356934
2020-06-19,108.169998168945,110.129997253418,106.699996948242,106.940002441406,7589600,106.940002441406
2020-06-22,107.809997558594,113.779998779297,107.580001831055,113.389999389648,6732400,113.389999389648
2020-06-23,115.199996948242,116,110.120002746582,111.099998474121,8163300,111.099998474121
2020-06-24,110.379997253418,111.870002746582,100.660003662109,103.639999389648,10785400,103.639999389648
2020-06-25,103,105.699996948242,101.199996948242,104.319999694824,4465300,104.319999694824
