Index,JFIN.Open,JFIN.High,JFIN.Low,JFIN.Close,JFIN.Volume,JFIN.Adjusted
2019-05-10,11,17.25,11,16.1499996185303,1523200,12.6606187820435
2019-05-13,15,16.7999992370605,14.3800001144409,15.1599998474121,114400,11.8845186233521
2019-05-14,15.0699996948242,16.1000003814697,14.6199998855591,15.2600002288818,70300,11.9629125595093
2019-05-15,15.0500001907349,15.539999961853,13.0200004577637,13.8999996185303,277200,10.8967552185059
2019-05-16,13.8500003814697,22.5,13.5100002288818,21.7000007629395,112700,17.0114822387695
2019-05-17,19.5,19.7399997711182,13.5100002288818,13.5100002288818,1633800,10.5910196304321
2019-05-20,13.8000001907349,13.8000001907349,11.3900003433228,12.5100002288818,91400,9.80707931518555
2019-05-21,11.7299995422363,11.8800001144409,10.2519998550415,10.5299997329712,57400,8.25487899780273
2019-05-22,10.3599996566772,10.7869997024536,10.0100002288818,10.5500001907349,842900,8.27055931091309
2019-05-23,10.3999996185303,11.5120000839233,10.1999998092651,11.0299997329712,660900,8.64684963226318
2019-05-24,11.4700002670288,11.5500001907349,11,11,21200,8.62333011627197
2019-05-28,11.0600004196167,11.0699996948242,10.3500003814697,10.5799999237061,27700,8.29407691955566
2019-05-29,10.5200004577637,10.5799999237061,10.3100004196167,10.4899997711182,25800,8.22352313995361
2019-05-30,10.4099998474121,10.9300003051758,10.4099998474121,10.5200004577637,7800,8.24704074859619
2019-05-31,10.4099998474121,12.460000038147,10.4099998474121,12.039999961853,59200,9.43862819671631
2019-06-03,12,12,10.9399995803833,11.0699996948242,15600,8.67820739746094
2019-06-04,11.0100002288818,11.210000038147,10.6599998474121,10.8999996185303,13200,8.54493713378906
2019-06-05,11,11.1719999313354,10.3999996185303,10.5100002288818,32900,8.23920154571533
2019-06-06,10.4700002670288,10.9399995803833,10.4700002670288,10.9399995803833,14700,8.57629489898682
2019-06-07,10.5100002288818,10.8000001907349,10.4200000762939,10.5,20900,8.23136138916016
2019-06-10,10.5299997329712,10.6499996185303,10.3509998321533,10.5200004577637,31500,8.24704074859619
