Index,LRNZ.Open,LRNZ.High,LRNZ.Low,LRNZ.Close,LRNZ.Volume,LRNZ.Adjusted
2020-03-02,25,25.3600006103516,25,25.3600006103516,1500,25.3262596130371
2020-03-03,25.5300006866455,26.7900009155273,24.55299949646,24.7290000915527,1500,24.6960983276367
2020-03-04,24.7000007629395,25.2709999084473,24.6900005340576,25.2709999084473,4500,25.237377166748
2020-03-05,24.7679996490479,24.9799995422363,24.7679996490479,24.8360004425049,1500,24.8029556274414
2020-03-06,24.0799999237061,24.3799991607666,24.0799999237061,24.1119995117188,300,24.0799179077148
2020-03-09,23.8600006103516,23.8600006103516,22.2910003662109,22.2910003662109,1900,22.2613430023193
2020-03-10,22.2900009155273,22.9200000762939,22.2900009155273,22.9200000762939,500,22.8895053863525
2020-03-11,22.5100002288818,22.5100002288818,21.7600002288818,21.8950004577637,3800,21.8658695220947
2020-03-12,21.25,21.25,20.7999992370605,20.7999992370605,500,20.7723255157471
2020-03-13,21,21.3859996795654,20.6599998474121,21.3859996795654,2400,21.3575458526611
2020-03-16,19.6599998474121,20.2399997711182,18.8339996337891,18.8339996337891,3600,18.8089408874512
2020-03-17,19.7000007629395,20.3799991607666,19.7000007629395,20.3799991607666,400,20.3528842926025
2020-03-18,19.5440006256104,19.5440006256104,19.5440006256104,19.5440006256104,400,19.5179977416992
2020-03-19,20.9120006561279,20.9120006561279,20.9120006561279,20.9120006561279,200,20.8841781616211
2020-03-20,20.7709999084473,20.7709999084473,20.7709999084473,20.7709999084473,200,20.7433643341064
2020-03-23,21.5,21.5,21.2250003814697,21.2250003814697,300,21.1967601776123
2020-03-24,23.3299999237061,23.3299999237061,22.5,22.6909999847412,2300,22.6608104705811
2020-03-25,24.9500007629395,24.9500007629395,22.5400009155273,22.6399993896484,1700,22.6098766326904
2020-03-26,23.5200004577637,23.5300006866455,23.3099994659424,23.3969993591309,2500,23.3658695220947
2020-03-27,22.9500007629395,22.9500007629395,22.5030002593994,22.5030002593994,300,22.4730606079102
2020-03-30,23.117000579834,23.117000579834,23.117000579834,23.117000579834,100,23.0862426757812
2020-03-31,23.1520004272461,23.1520004272461,23.1520004272461,23.1520004272461,100,23.1211967468262
2020-04-01,22.4599990844727,22.4599990844727,22.3959999084473,22.3959999084473,1600,22.3662014007568
2020-04-02,21.9699993133545,21.9699993133545,21.9500007629395,21.9500007629395,400,21.9207973480225
2020-04-03,21.75,21.9139995574951,21.75,21.9139995574951,400,21.8848438262939
2020-04-06,21.9139995574951,21.9139995574951,21.9139995574951,21.9139995574951,0,21.8848438262939
2020-04-07,23.298999786377,23.298999786377,23.298999786377,23.298999786377,0,23.2679996490479
2020-04-08,23.5499992370605,23.6499996185303,23.5400009155273,23.6319999694824,600,23.6005573272705
2020-04-09,23.6450004577637,23.6450004577637,23.6420001983643,23.6420001983643,200,23.6105442047119
2020-04-13,23.6000003814697,23.9150009155273,23.5300006866455,23.9150009155273,1500,23.8831825256348
2020-04-14,23.9150009155273,23.9150009155273,23.9150009155273,23.9150009155273,0,23.8831825256348
2020-04-15,24.6049995422363,24.7900009155273,24.6049995422363,24.7479991912842,1600,24.7150726318359
2020-04-16,24.7479991912842,24.7479991912842,24.7479991912842,24.7479991912842,0,24.7150726318359
2020-04-17,25.4699993133545,25.5550003051758,25.4500007629395,25.5550003051758,600,25.5209999084473
2020-04-20,26.8199996948242,26.8199996948242,25.3759994506836,26.0230007171631,2200,25.9883766174316
2020-04-21,25.8199996948242,25.8299999237061,25,25.0650005340576,2200,25.0316524505615
2020-04-22,25.7099990844727,25.8500003814697,25.701000213623,25.761999130249,2200,25.7277221679688
2020-04-23,25.7600002288818,25.8500003814697,25.6429996490479,25.6429996490479,1100,25.6088809967041
2020-04-24,25.8700008392334,26.1189994812012,25.8430004119873,26.1189994812012,2100,26.0842475891113
2020-04-27,26.4400005340576,26.4400005340576,26.3959999084473,26.3959999084473,800,26.3608798980713
2020-04-28,26.4500007629395,26.4500007629395,25.9909992218018,25.9909992218018,1500,25.9564189910889
