Index,AVGO.Open,AVGO.High,AVGO.Low,AVGO.Close,AVGO.Volume,AVGO.Adjusted
2015-10-13,11.6339998245239,11.6669998168945,11.3210000991821,11.3420000076294,32475000,8.62571811676025
2015-10-14,11.3000001907349,11.7760000228882,11.2379999160767,11.746000289917,33530000,8.93296051025391
2015-10-15,11.8000001907349,12.1990003585815,11.7690000534058,12.1870002746582,49316000,9.26834774017334
2015-10-16,12.1899995803833,12.1979999542236,11.9899997711182,12.1070003509521,19866000,9.20750522613525
2015-10-19,12.1000003814697,12.1260004043579,11.7370004653931,11.8959999084473,18593000,9.04703712463379
2015-10-20,11.8470001220703,12.0069999694824,11.7600002288818,11.9890003204346,21920000,9.11776351928711
2015-10-21,12.1759996414185,12.2679996490479,12.0109996795654,12.0500001907349,28197000,9.16415309906006
2015-10-22,12.1619997024536,12.5620002746582,12.121000289917,12.5340003967285,34344000,9.53224563598633
2015-10-23,12.7469997406006,12.9840002059937,12.4060001373291,12.9580001831055,35498000,9.85469818115234
2015-10-26,12.8059997558594,12.8059997558594,12.2740001678467,12.3610000610352,58129000,9.40067481994629
2015-10-27,12.3090000152588,12.5150003433228,12.0939998626709,12.1490001678467,32280000,9.23944473266602
2015-10-28,12.4790000915527,12.7849998474121,12.3699998855591,12.7089996337891,30966000,9.66533184051514
2015-10-29,12.1000003814697,12.4160003662109,11.8719997406006,12.0089998245239,61582000,9.13297653198242
2015-10-30,12.085000038147,12.4020004272461,12.0170001983643,12.3129997253418,25516000,9.36416816711426
2015-11-02,12.3660001754761,12.5209999084473,12.246000289917,12.3800001144409,26068000,9.41512870788574
2015-11-03,12.1479997634888,12.4949998855591,12.1479997634888,12.21399974823,26222000,9.28887844085693
2015-11-04,12.25,12.4860000610352,12.0059995651245,12.41100025177,43098000,9.43870258331299
2015-11-05,12.4910001754761,12.5,12.0600004196167,12.1059999465942,28308000,9.20674419403076
2015-11-06,12.3249998092651,12.9790000915527,12.3229999542236,12.9670000076294,45287000,9.86154556274414
2015-11-09,12.8369998931885,12.8940000534058,12.5710000991821,12.6499996185303,28250000,9.62046337127686
2015-11-10,12.3109998703003,12.4079999923706,11.9770002365112,11.9860000610352,44759000,9.11548233032227
2015-11-11,12.0209999084473,12.2700004577637,11.9820003509521,11.9949998855591,25953000,9.12232494354248
2015-11-12,12.0209999084473,12.1409997940063,11.8920001983643,11.9849996566772,26588000,9.11472225189209
2015-11-13,11.8999996185303,11.9890003204346,11.5209999084473,11.753999710083,39824000,8.93904304504395
2015-11-16,11.7469997406006,12.1770000457764,11.7080001831055,12.1470003128052,27796000,9.23792552947998
2015-11-17,12.1459999084473,12.3680000305176,12.1000003814697,12.206000328064,19868000,9.28279495239258
2015-11-18,12.1920003890991,12.6099996566772,12.1599998474121,12.5920000076294,20270000,9.57635307312012
2015-11-19,12.6099996566772,12.6129999160767,12.3009996414185,12.5209999084473,32780000,9.52235889434814
2015-11-20,12.621000289917,12.6669998168945,12.3730001449585,12.6400003433228,28057000,9.61285877227783
2015-11-23,12.6750001907349,12.6750001907349,12.4209995269775,12.4409999847412,16003000,9.46151828765869
2015-11-24,12.3409996032715,12.8590002059937,12.3409996032715,12.8339996337891,35659000,9.76039505004883
2015-11-25,12.8999996185303,12.9169998168945,12.7659997940063,12.83899974823,21396000,9.76420021057129
2015-11-27,12.8629999160767,13.0450000762939,12.78600025177,13.003999710083,13262000,9.88968276977539
2015-11-30,12.9429998397827,13.0699996948242,12.7119998931885,13.0450000762939,32615000,9.92086315155029
2015-12-01,13.1169996261597,13.3769998550415,13.0909996032715,13.2889995574951,43255000,10.106427192688
2015-12-02,13.3070001602173,13.5,13.1540002822876,13.2209997177124,54364000,10.0547142028809
2015-12-03,14.4860000610352,14.6859998703003,14.2880001068115,14.4779996871948,120661000,11.0106725692749
2015-12-04,14.4799995422363,14.7889995574951,14.3240003585815,14.7559995651245,60329000,11.2220973968506
2015-12-07,14.668999671936,14.9720001220703,14.5550003051758,14.8830003738403,44769000,11.3186836242676
