Index,QQQ.Open,QQQ.High,QQQ.Low,QQQ.Close,QQQ.Volume,QQQ.Adjusted
2015-10-13,106.180000305176,107.26000213623,106,106.099998474121,26999600,98.7344512939453
2015-10-14,106.099998474121,106.629997253418,105.48999786377,105.930000305176,30902600,98.5762481689453
2015-10-15,106.319999694824,107.680000305176,106.180000305176,107.669998168945,38393800,100.195449829102
2015-10-16,107.900001525879,108.180000305176,107.379997253418,108.120002746582,27091100,100.614234924316
2015-10-19,107.980003356934,108.809997558594,107.73999786377,108.73999786377,23776300,101.191184997559
2015-10-20,108.550003051758,108.779998779297,107.809997558594,108.180000305176,23404700,100.670082092285
2015-10-21,108.730003356934,108.839996337891,107.480003356934,107.519996643066,30195200,100.055862426758
2015-10-22,108.480003356934,109.800003051758,108.169998168945,109.709999084473,42778700,102.093849182129
2015-10-23,112.660003662109,113.23999786377,112.069999694824,112.779998779297,53170900,104.950736999512
2015-10-26,112.699996948242,113.069999694824,112.269996643066,112.849998474121,25918000,105.015884399414
2015-10-27,112.550003051758,113.23999786377,112.519996643066,113.080001831055,31390500,105.22989654541
2015-10-28,113.25,114.019996643066,112.339996337891,114.019996643066,42221900,106.104667663574
2015-10-29,113.5,114.029998779297,113.379997253418,113.839996337891,24913300,105.937171936035
2015-10-30,113.889999389648,114.080001831055,113.300003051758,113.330001831055,27199200,105.462539672852
2015-11-02,113.629997253418,114.75,113.389999389648,114.610000610352,22176900,106.653694152832
2015-11-03,114.379997253418,115.419998168945,114.209999084473,115.01000213623,20418400,107.025947570801
2015-11-04,115.389999389648,115.470001220703,114.540000915527,115.019996643066,28633000,107.035217285156
2015-11-05,115.120002746582,115.400001525879,114.110000610352,114.709999084473,25004100,106.746765136719
2015-11-06,114.48999786377,114.919998168945,113.76000213623,114.790000915527,29924900,106.821212768555
2015-11-09,114.360000610352,114.51000213623,112.870002746582,113.569999694824,33479800,105.685874938965
2015-11-10,112.970001220703,113.389999389648,112.629997253418,113.279998779297,35452100,105.416007995605
2015-11-11,113.589996337891,114.139999389648,112.949996948242,113.139999389648,22748800,105.285758972168
2015-11-12,112.680000305176,113.230003356934,111.959999084473,112.040000915527,31196900,104.262100219727
2015-11-13,111.569999694824,111.690002441406,109.779998779297,109.839996337891,52836000,102.214828491211
2015-11-16,109.730003356934,111.440002441406,109.480003356934,111.419998168945,33980600,103.685134887695
2015-11-17,111.610000610352,112.290000915527,111.209999084473,111.48999786377,30579500,103.750297546387
2015-11-18,111.940002441406,113.73999786377,111.830001831055,113.629997253418,32966500,105.741714477539
2015-11-19,113.690002441406,114.230003356934,113.48999786377,113.709999084473,26188100,105.816177368164
2015-11-20,114.25,114.569999694824,114.139999389648,114.480003356934,22727600,106.532707214355
2015-11-23,114.519996643066,114.940002441406,113.660003662109,114.150001525879,20696200,106.225639343262
2015-11-24,113.410003662109,114.319999694824,112.839996337891,114.050003051758,26374400,106.132583618164
2015-11-25,114.220001220703,114.360000610352,113.910003662109,114.150001525879,14159900,106.225639343262
2015-11-27,114.400001525879,114.540000915527,113.919998168945,114.309997558594,8828000,106.374488830566
2015-11-30,114.650001525879,114.650001525879,113.650001525879,114.019996643066,25041600,106.104667663574
2015-12-01,114.480003356934,115.160003662109,114.339996337891,115.160003662109,28639400,107.165550231934
2015-12-02,115.25,115.75,114.279998779297,114.449996948242,22395500,106.504806518555
2015-12-03,114.76000213623,114.959999084473,111.839996337891,112.51000213623,42754300,104.699478149414
2015-12-04,112.849998474121,115.330001831055,112.620002746582,115.139999389648,40037300,107.146903991699
2015-12-07,115.220001220703,115.290000915527,114.069999694824,114.620002746582,25892100,106.662994384766
2015-12-08,113.419998168945,115,113.379997253418,114.629997253418,30792600,106.672294616699
2015-12-09,114.129997253418,114.76000213623,112.199996948242,112.889999389648,48509200,105.053115844727
2015-12-10,113.150001525879,114.160003662109,112.809997558594,113.400001525879,30154600,105.527709960938
2015-12-11,112.089996337891,112.389999389648,110.720001220703,110.790000915527,56022200,103.098892211914
2015-12-14,110.940002441406,111.680000305176,109.379997253418,111.629997253418,53098500,103.880569458008
2015-12-15,112.660003662109,113.279998779297,112.169998168945,112.309997558594,48428000,104.51335144043
2015-12-16,113.069999694824,114.169998168945,111.889999389648,113.980003356934,44944100,106.067443847656
2015-12-17,114.480003356934,114.480003356934,112.300003051758,112.319999694824,45668800,104.522659301758
