Index,SYG500.JO.Open,SYG500.JO.High,SYG500.JO.Low,SYG500.JO.Close,SYG500.JO.Volume,SYG500.JO.Adjusted
2017-10-25,3570.3310546875,3570.3310546875,3570.3310546875,3570.3310546875,0,3567.72924804688
2017-10-26,3634.25610351562,3634.25610351562,3634.25610351562,3634.25610351562,0,3631.60815429688
2017-10-27,3645.71801757812,3645.71801757812,3645.71801757812,3645.71801757812,0,3643.06103515625
2017-10-30,3627.98095703125,3627.98095703125,3627.98095703125,3627.98095703125,0,3625.33715820312
2017-10-31,3648.5029296875,3648.5029296875,3648.5029296875,3648.5029296875,0,3645.84448242188
2017-11-01,3631.99291992188,3631.99291992188,3631.99291992188,3631.99291992188,0,3629.345703125
2017-11-02,3598.86010742188,3598.86010742188,3598.86010742188,3598.86010742188,0,3596.23754882812
2017-11-03,3667.27587890625,3667.27587890625,3667.27587890625,3667.27587890625,0,3664.603515625
2017-11-06,3672.51489257812,3672.51489257812,3672.51489257812,3672.51489257812,0,3669.83862304688
2017-11-07,3675.30810546875,3675.30810546875,3675.30810546875,3675.30810546875,0,3672.62963867188
2017-11-08,3660.11206054688,3660.11206054688,3660.11206054688,3660.11206054688,0,3657.44482421875
2017-11-09,3675.1708984375,3675.1708984375,3675.1708984375,3675.1708984375,0,3672.49243164062
2017-11-10,3697.57006835938,3697.57006835938,3697.57006835938,3697.57006835938,0,3694.87573242188
2017-11-13,3748.10595703125,3748.10595703125,3748.10595703125,3748.10595703125,0,3745.37451171875
2017-11-14,3714.23901367188,3714.23901367188,3714.23901367188,3714.23901367188,0,3711.53173828125
2017-11-15,3686.61694335938,3686.61694335938,3686.61694335938,3686.61694335938,0,3683.9306640625
2017-11-16,3667.2119140625,3667.2119140625,3667.2119140625,3667.2119140625,0,3664.53955078125
2017-11-17,3629.53100585938,3629.53100585938,3629.53100585938,3629.53100585938,0,3626.8857421875
2017-11-20,3627.09692382812,3627.09692382812,3627.09692382812,3627.09692382812,0,3624.45361328125
2017-11-21,3636.94995117188,3636.94995117188,3636.94995117188,3636.94995117188,0,3634.29956054688
2017-11-22,3598.80004882812,3598.80004882812,3598.80004882812,3598.80004882812,0,3596.17749023438
2017-11-23,3611.9619140625,3611.9619140625,3611.9619140625,3611.9619140625,0,3609.32983398438
2017-11-24,3626.98291015625,3626.98291015625,3626.98291015625,3626.98291015625,0,3624.33984375
2017-11-27,3588.544921875,3588.544921875,3588.544921875,3588.544921875,0,3585.9296875
2017-11-28,3579.74609375,3579.74609375,3579.74609375,3579.74609375,0,3577.13696289062
2017-11-29,3613.40405273438,3613.40405273438,3613.40405273438,3613.40405273438,0,3610.7705078125
2017-11-30,3585.1640625,3585.1640625,3585.1640625,3585.1640625,0,3582.55126953125
2017-12-01,3626.64208984375,3626.64208984375,3626.64208984375,3626.64208984375,0,3623.99951171875
2017-12-04,3623.94506835938,3623.94506835938,3623.94506835938,3623.94506835938,0,3621.30346679688
2017-12-05,3583.587890625,3583.587890625,3583.587890625,3583.587890625,0,3580.97631835938
2017-12-06,3566.24194335938,3566.24194335938,3566.24194335938,3566.24194335938,0,3563.64306640625
2017-12-07,3605.8759765625,3605.8759765625,3605.8759765625,3605.8759765625,0,3603.248046875
2017-12-08,3603.13891601562,3603.13891601562,3603.13891601562,3603.13891601562,0,3600.51318359375
2017-12-11,3614.71606445312,3614.71606445312,3614.71606445312,3614.71606445312,0,3612.08178710938
2017-12-12,3640.98095703125,3640.98095703125,3640.98095703125,3640.98095703125,0,3638.32763671875
2017-12-13,3621.44702148438,3621.44702148438,3621.44702148438,3621.44702148438,0,3618.80810546875
2017-12-14,3595.92700195312,3595.92700195312,3595.92700195312,3595.92700195312,0,3593.30590820312
2017-12-15,3546.96704101562,3546.96704101562,3546.96704101562,3546.96704101562,0,3544.3818359375
2017-12-18,3460.56103515625,3460.56103515625,3460.56103515625,3460.56103515625,0,3458.03930664062
2017-12-19,3435.2451171875,3435.2451171875,3435.2451171875,3435.2451171875,0,3432.7412109375
2017-12-20,3394.88110351562,3394.88110351562,3394.88110351562,3394.88110351562,0,3392.40747070312
2017-12-21,3415.82299804688,3415.82299804688,3415.82299804688,3415.82299804688,0,3413.33374023438
2017-12-22,3390.63500976562,3390.63500976562,3390.63500976562,3390.63500976562,0,3388.1640625
2017-12-25,NA,NA,NA,NA,NA,NA
2017-12-26,NA,NA,NA,NA,NA,NA
2017-12-27,3310.93408203125,3310.93408203125,3310.93408203125,3310.93408203125,0,3308.52124023438
2017-12-28,3303.40893554688,3303.40893554688,3303.40893554688,3303.40893554688,0,3301.00170898438
2017-12-29,3309.86206054688,3309.86206054688,3309.86206054688,3309.86206054688,0,3307.4501953125
2018-01-02,3358.59399414062,3358.59399414062,3358.59399414062,3358.59399414062,0,3356.14697265625
2018-01-03,3354.22607421875,3354.22607421875,3354.22607421875,3354.22607421875,0,3351.78198242188
2018-01-04,3352.86791992188,3352.86791992188,3352.86791992188,3352.86791992188,0,3350.4248046875
2018-01-05,3385.72509765625,3385.72509765625,3385.72509765625,3385.72509765625,0,3383.25756835938
2018-01-08,3409.51611328125,3409.51611328125,3409.51611328125,3409.51611328125,0,3407.03173828125
2018-01-09,3405.48803710938,3405.48803710938,3405.48803710938,3405.48803710938,0,3403.0068359375
2018-01-10,3421.05004882812,3421.05004882812,3421.05004882812,3421.05004882812,0,3418.55688476562
2018-01-11,3442.52197265625,3442.52197265625,3442.52197265625,3442.52197265625,0,3440.01318359375
2018-01-12,3465.35107421875,3465.35107421875,3465.35107421875,3465.35107421875,0,3462.82495117188
2018-01-15,3438.0439453125,3438.0439453125,3438.0439453125,3438.0439453125,0,3435.53881835938
2018-01-16,3410.7041015625,3410.7041015625,3410.7041015625,3410.7041015625,0,3408.21899414062
2018-01-17,3436.56811523438,3436.56811523438,3436.56811523438,3436.56811523438,0,3434.06323242188
2018-01-18,3398.88793945312,3398.88793945312,3398.88793945312,3398.88793945312,0,3396.4111328125
2018-01-19,3438.40087890625,3438.40087890625,3438.40087890625,3438.40087890625,0,3435.8955078125
2018-01-22,3432.48901367188,3432.48901367188,3432.48901367188,3432.48901367188,0,3429.98779296875
2018-01-23,3428.330078125,3428.330078125,3428.330078125,3428.330078125,0,3425.83154296875
2018-01-24,3381.60595703125,3381.60595703125,3381.60595703125,3381.60595703125,0,3379.14208984375
