Index,UPRO.Open,UPRO.High,UPRO.Low,UPRO.Close,UPRO.Volume,UPRO.Adjusted
2015-10-13,9.96500015258789,10.1933326721191,9.87833309173584,9.90999984741211,17701800,9.41549301147461
2015-10-14,9.88666725158691,9.99833297729492,9.71333312988281,9.75833320617676,13084800,9.27138996124268
2015-10-15,9.87666702270508,10.2133331298828,9.81666660308838,10.203332901001,20719200,9.69418716430664
2015-10-16,10.2950000762939,10.3533334732056,10.1499996185303,10.341667175293,15670800,9.82561779022217
2015-10-19,10.2333326339722,10.3666667938232,10.1783332824707,10.3633327484131,9993600,9.8462028503418
2015-10-20,10.2849998474121,10.4399995803833,10.243332862854,10.3183326721191,10748400,9.80345058441162
2015-10-21,10.4066667556763,10.4300003051758,10.1033334732056,10.1383333206177,17344800,9.6324291229248
2015-10-22,10.3100004196167,10.6833333969116,10.283332824707,10.6400003433228,28792200,10.1090641021729
2015-10-23,10.9683332443237,11.0649995803833,10.8133325576782,10.993332862854,21012000,10.444766998291
2015-10-26,10.9750003814697,10.9766674041748,10.8500003814697,10.9233331680298,11905800,10.3782577514648
2015-10-27,10.8000001907349,10.9183330535889,10.7316665649414,10.8433332443237,13701000,10.3022518157959
2015-10-28,10.9166669845581,11.2266674041748,10.7933330535889,11.2183332443237,26181000,10.6585397720337
2015-10-29,11.118332862854,11.2716665267944,11.1049995422363,11.216667175293,10412400,10.6569538116455
2015-10-30,11.2449998855591,11.3000001907349,11.0249996185303,11.0433330535889,11020200,10.4922733306885
2015-11-02,11.1149997711182,11.4866666793823,11.0966672897339,11.4383325576782,11697600,10.8675622940063
2015-11-03,11.3850002288818,11.658332824707,11.3400001525879,11.5366668701172,14612400,10.9609889984131
2015-11-04,11.6049995422363,11.6283330917358,11.3433332443237,11.453332901001,14904600,10.8818120956421
2015-11-05,11.4516668319702,11.5450000762939,11.2399997711182,11.4066667556763,13459200,10.8374767303467
2015-11-06,11.3333330154419,11.4366674423218,11.1350002288818,11.3833332061768,14458200,10.8153057098389
2015-11-09,11.2749996185303,11.296667098999,10.8883333206177,11.0699996948242,18955200,10.5176086425781
2015-11-10,10.9799995422363,11.1533327102661,10.9283332824707,11.1283330917358,9774000,10.5730314254761
2015-11-11,11.1999998092651,11.2049999237061,11,11.0083332061768,13543200,10.4590177536011
2015-11-12,10.8166666030884,10.9016666412354,10.5516672134399,10.5533332824707,18699600,10.0267219543457
2015-11-13,10.4783334732056,10.5233325958252,10.1783332824707,10.1966667175293,25027200,9.68785572052002
2015-11-16,10.1633329391479,10.6633329391479,10.1416673660278,10.658332824707,20134800,10.126482963562
2015-11-17,10.7266674041748,10.8800001144409,10.5450000762939,10.6216669082642,31225800,10.0916452407837
2015-11-18,10.7316665649414,11.1666669845581,10.716667175293,11.131667137146,22347600,10.5761966705322
2015-11-19,11.1166667938232,11.1933326721191,11.0583333969116,11.1149997711182,13675800,10.5603628158569
2015-11-20,11.2633333206177,11.3633327484131,11.1616668701172,11.2366666793823,12726600,10.6759567260742
2015-11-23,11.2483329772949,11.341667175293,11.1083326339722,11.1883325576782,8896800,10.6300392150879
2015-11-24,11.0033330917358,11.3133325576782,10.9233331680298,11.2416667938232,17761200,10.6807079315186
2015-11-25,11.2650003433228,11.2983331680298,11.1833333969116,11.2283334732056,6378600,10.6680421829224
2015-11-27,11.243332862854,11.3083333969116,11.1599998474121,11.2600002288818,5517000,10.6981258392334
2015-11-30,11.3116674423218,11.3249998092651,11.1083326339722,11.1333332061768,10020600,10.5777816772461
2015-12-01,11.2483329772949,11.4700002670288,11.1999998092651,11.4483327865601,17682600,10.8770618438721
2015-12-02,11.4266672134399,11.4983329772949,11.0450000762939,11.085000038147,16200600,10.5318584442139
2015-12-03,11.1499996185303,11.1916666030884,10.4916667938232,10.6233329772949,27195000,10.0932283401489
2015-12-04,10.7016668319702,11.3033332824707,10.6766672134399,11.2449998855591,21777600,10.6838760375977
2015-12-07,11.1850004196167,11.1850004196167,10.8566665649414,11.039999961853,14157000,10.4891052246094
2015-12-08,10.7399997711182,10.9899997711182,10.6300001144409,10.8166666030884,16993800,10.2769165039062
2015-12-09,10.6966667175293,11.0883331298828,10.3766670227051,10.5699996948242,27967200,10.0425577163696
2015-12-10,10.5749998092651,10.881667137146,10.533332824707,10.631667137146,14751600,10.101149559021
2015-12-11,10.2583332061768,10.375,9.96666717529297,10.0083332061768,33998400,9.50891876220703
