Index,MAGS.Open,MAGS.High,MAGS.Low,MAGS.Close,MAGS.Volume,MAGS.Adjusted
2023-04-11,24.75,24.75,24.3999996185303,24.4659996032715,42600,23.8202857971191
2023-04-12,24.8700008392334,24.8700008392334,24.3199996948242,24.3299999237061,18500,23.6878776550293
2023-04-13,24.25,25.0799999237061,24.25,25.056999206543,20400,24.3956890106201
2023-04-14,25.2000007629395,25.2099990844727,24.6800003051758,25.0699996948242,15200,24.4083461761475
2023-04-17,25.0100002288818,25.0900001525879,24.7299995422363,24.9559993743896,11800,24.2973537445068
2023-04-18,25.0400009155273,25.0629997253418,24.8099994659424,24.8920001983643,5200,24.2350425720215
2023-04-19,24.75,25.0200004577637,24.75,24.9099998474121,3400,24.2525691986084
2023-04-20,24.8549995422363,24.8700008392334,24.75,24.7999992370605,3200,24.145471572876
2023-04-21,24.8299999237061,24.9720001220703,24.7950000762939,24.8999996185303,2600,24.2428321838379
2023-04-24,25.0650005340576,25.0650005340576,24.798999786377,24.8400001525879,2500,24.1844158172607
2023-04-25,24.6149997711182,24.6149997711182,24.2900009155273,24.2900009155273,3700,23.6489334106445
2023-04-26,24.8400001525879,25.0799999237061,24.7099990844727,24.7600002288818,10400,24.1065292358398
2023-04-27,25.75,26.2999992370605,25.6700000762939,26.1499996185303,10900,25.4598407745361
2023-04-28,26.1599998474121,26.1599998474121,25.875,26.0799999237061,8600,25.3916893005371
2023-05-01,25.9400005340576,26.0400009155273,25.8999996185303,25.9769992828369,4000,25.2914066314697
2023-05-02,26.0200004577637,26.0349998474121,25.6700000762939,25.7999992370605,5600,25.1190795898438
2023-05-03,26.0300006866455,26.0300006866455,25.7099990844727,25.75,14500,25.0704002380371
2023-05-04,25.5109996795654,25.6599998474121,25.5109996795654,25.6200008392334,8700,24.9438304901123
2023-05-05,25.7900009155273,26.0799999237061,25.7700004577637,26.0020008087158,10800,25.3157482147217
2023-05-08,25.8819999694824,26.1299991607666,25.8819999694824,26.1299991607666,3300,25.4403686523438
2023-05-09,26.1560001373291,26.1560001373291,26.0300006866455,26.0300006866455,1300,25.3430118560791
2023-05-10,26.3099994659424,26.6499996185303,26.2469997406006,26.5400009155273,5800,25.8395500183105
2023-05-11,26.7600002288818,27.0799999237061,26.6000003814697,26.9200000762939,12000,26.2095203399658
2023-05-12,26.8999996185303,26.9500007629395,26.5699996948242,26.75,9800,26.0440063476562
2023-05-15,26.9099998474121,26.9099998474121,26.6800003051758,26.8600006103516,3300,26.1511058807373
2023-05-16,26.8999996185303,27.2800006866455,26.8999996185303,27.1299991607666,12400,26.4139766693115
2023-05-17,27.3099994659424,27.5300006866455,27.2199993133545,27.4979991912842,9100,26.7722644805908
2023-05-18,27.6299991607666,27.9699993133545,27.6200008392334,27.9699993133545,20400,27.2318077087402
2023-05-19,27.8999996185303,27.9200000762939,27.7600002288818,27.8419990539551,19500,27.1071853637695
2023-05-22,27.8799991607666,28.1000003814697,27.8799991607666,27.9300003051758,10000,27.1928653717041
2023-05-23,27.8799991607666,27.9300003051758,27.6299991607666,27.6299991607666,14400,26.9007797241211
2023-05-24,27.6200008392334,27.7000007629395,27.5149993896484,27.6399993896484,7200,26.9105167388916
2023-05-25,27.8899993896484,28.0400009155273,27.7199993133545,27.9799995422363,5200,27.2415447235107
2023-05-26,27.9500007629395,28.7600002288818,27.9500007629395,28.6700000762939,8500,27.9133338928223
2023-05-30,29.2099990844727,29.2099990844727,28.6700000762939,28.8799991607666,16600,28.117790222168
2023-05-31,28.8500003814697,28.9200000762939,28.636999130249,28.7220001220703,6000,27.963960647583
2023-06-01,28.8400001525879,29.2199993133545,28.8400001525879,29.1529998779297,3400,28.3835868835449
2023-06-02,29.5,29.6100006103516,29.2649993896484,29.3999996185303,14900,28.6240673065186
2023-06-05,29.5599994659424,29.7900009155273,29.3600006103516,29.3799991607666,7900,28.6045951843262
2023-06-06,29.6100006103516,29.6100006103516,29.4409999847412,29.5,2900,28.7214279174805
2023-06-07,29.6800003051758,29.7299995422363,28.6100006103516,28.6100006103516,9300,27.8549175262451
2023-06-08,28.632999420166,29.0400009155273,28.6299991607666,28.8850002288818,4700,28.1226615905762
2023-06-09,28.9300003051758,29.0890007019043,28.8600006103516,28.9400005340576,10400,28.1762104034424
2023-06-12,29.0359992980957,29.5100002288818,29.0359992980957,29.5100002288818,9000,28.731164932251
2023-06-13,29.5499992370605,29.6000003814697,29.4120006561279,29.4610004425049,6100,28.6834583282471
2023-06-14,29.5200004577637,29.6660003662109,29.1800003051758,29.6499996185303,6300,28.867467880249
2023-06-15,29.7700004577637,30.1800003051758,29.7700004577637,30.1800003051758,2300,29.3834800720215
2023-06-16,30.1900005340576,30.1900005340576,29.8500003814697,29.8579998016357,11600,29.0699806213379
2023-06-20,29.6000003814697,29.8600006103516,29.5599994659424,29.7999992370605,4700,29.0135097503662
2023-06-21,29.6000003814697,29.7600002288818,29.3999996185303,29.5,5900,28.7214279174805
2023-06-22,29.2800006866455,30.1800003051758,29.2800006866455,30.1800003051758,7900,29.3834800720215
2023-06-23,29.7749996185303,30.0699996948242,29.7749996185303,30.0699996948242,3600,29.2763843536377
2023-06-26,30.0450000762939,30.1399993896484,29.3700008392334,29.4300003051758,5600,28.6532764434814
2023-06-27,29.7199993133545,29.9500007629395,29.7199993133545,29.7800006866455,4900,28.9940395355225
2023-06-28,29.8999996185303,30.1599998474121,29.8400001525879,29.8899993896484,5700,29.1011352539062
2023-06-29,29.9349994659424,29.9599990844727,29.6299991607666,29.6900005340576,8200,28.9064140319824
2023-06-30,29.8899993896484,30.2900009155273,29.8899993896484,30.25,3200,29.4516353607178
2023-07-03,30.3099994659424,30.3099994659424,30.0100002288818,30.1499996185303,3300,29.3542728424072
2023-07-05,30.1900005340576,30.4869995117188,30.1900005340576,30.3999996185303,5800,29.5976753234863
2023-07-06,30.1499996185303,30.2600002288818,30.1499996185303,30.2600002288818,800,29.4613704681396
2023-07-07,30.2399997711182,30.4400005340576,30.19700050354,30.19700050354,4300,29.400032043457
2023-07-10,30,30,29.5,29.6900005340576,4200,28.9064140319824
2023-07-11,29.75,29.9599990844727,29.7199993133545,29.9300003051758,5700,29.140079498291
2023-07-12,30.5,30.5499992370605,30.3400001525879,30.4500007629395,2600,29.6463565826416
2023-07-13,30.7800006866455,31.2000007629395,30.7800006866455,31.2000007629395,3700,30.3765621185303
2023-07-14,31.326000213623,31.4699993133545,31.0699996948242,31.1000003814697,3900,30.2792015075684
2023-07-17,31.1399993896484,31.2999992370605,31.1399993896484,31.1900005340576,4400,30.3668251037598
2023-07-18,31,31.5499992370605,30.9899997711182,31.3600006103516,3800,30.5323390960693
