"Index","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2015-10-13",27.7049999237061,28.1124992370605,27.6700000762939,27.9475002288818,132197200,25.1835594177246
"2015-10-14",27.8225002288818,27.8799991607666,27.3899993896484,27.5524997711182,177849600,24.8276309967041
"2015-10-15",27.7325000762939,28.0249996185303,27.6224994659424,27.9650001525879,150694000,25.1993389129639
"2015-10-16",27.9449996948242,28,27.6324996948242,27.7600002288818,156930400,25.014612197876
"2015-10-19",27.7000007629395,27.9375,27.5275001525879,27.9325008392334,119036800,25.1700477600098
"2015-10-20",27.8349990844727,28.5424995422363,27.7049999237061,28.4424991607666,195871200,25.6296081542969
"2015-10-21",28.5,28.8950004577637,28.4249992370605,28.4400005340576,167180800,25.6273574829102
"2015-10-22",28.5825004577637,28.875,28.5249996185303,28.875,166616400,26.0193328857422
"2015-10-23",29.1749992370605,29.8075008392334,29.0825004577637,29.7700004577637,237467600,26.8258228302002
"2015-10-26",29.5200004577637,29.5324993133545,28.7299995422363,28.8199996948242,265335200,25.9697742462158
"2015-10-27",28.8500003814697,29.1350002288818,28.4974994659424,28.6375007629395,279537600,25.8053207397461
"2015-10-28",29.2325000762939,29.8250007629395,29.0149993896484,29.8174991607666,342205600,26.8686199188232
"2015-10-29",29.6749992370605,30.1725006103516,29.5674991607666,30.1324996948242,204909200,27.1524696350098
"2015-10-30",30.2474994659424,30.3050003051758,29.8624992370605,29.875,197461200,26.9204368591309
"2015-11-02",30.2000007629395,30.3400001525879,29.9025001525879,30.2950000762939,128813200,27.2989025115967
"2015-11-03",30.1975002288818,30.8724994659424,30.1749992370605,30.6424999237061,182076000,27.6120357513428
"2015-11-04",30.7824993133545,30.9549999237061,30.4050006866455,30.5,179544400,27.4836235046387
"2015-11-05",30.4624996185303,30.6725006103516,30.0450000762939,30.2299995422363,158210800,27.3569355010986
"2015-11-06",30.2775001525879,30.4524993896484,30.1550006866455,30.2649993896484,132169200,27.3886108398438
"2015-11-09",30.2399997711182,30.4524993896484,30.0125007629395,30.1424999237061,135485600,27.2777404785156
"2015-11-10",29.2250003814697,29.5174999237061,29.0149993896484,29.1924991607666,236511600,26.4180374145508
"2015-11-11",29.0925006866455,29.3549995422363,28.8024997711182,29.0275001525879,180872000,26.2687206268311
"2015-11-12",29.0650005340576,29.2049999237061,28.9125003814697,28.9300003051758,130102400,26.1804809570312
"2015-11-13",28.7999992370605,28.8924999237061,28.0674991607666,28.0849990844727,183249600,25.4157886505127
"2015-11-16",27.8449993133545,28.5599994659424,27.75,28.5450000762939,152426800,25.8320713043213
"2015-11-17",28.7299995422363,28.7625007629395,28.3299999237061,28.4225006103516,110467600,25.7212200164795
"2015-11-18",28.9400005340576,29.3724994659424,28.875,29.3225002288818,186698800,26.5356864929199
"2015-11-19",29.4099998474121,29.9375,29.1900005340576,29.6949996948242,173183200,26.8727779388428
"2015-11-20",29.7999992370605,29.9799995422363,29.7124996185303,29.8250007629395,137148400,26.9904232025146
"2015-11-23",29.8174991607666,29.9325008392334,29.3349990844727,29.4375,129930000,26.6397514343262
"2015-11-24",29.3325004577637,29.8374996185303,29.2800006866455,29.7199993133545,171212800,26.8954010009766
