"Index","TQQQ.Open","TQQQ.High","TQQQ.Low","TQQQ.Close","TQQQ.Volume","TQQQ.Adjusted"
"2015-10-13",4.12083292007446,4.24875020980835,4.09999990463257,4.11041688919067,106483200,3.94526600837708
"2015-10-14",4.11166715621948,4.17374992370605,4.03999996185303,4.09291696548462,91665600,3.92846941947937
"2015-10-15",4.13708305358887,4.29374980926514,4.12125015258789,4.29291677474976,107284800,4.12043380737305
"2015-10-16",4.32124996185303,4.35416698455811,4.25833320617676,4.34625005722046,66321600,4.17162418365479
"2015-10-19",4.32625007629395,4.43125009536743,4.30208301544189,4.42416715621948,81811200,4.24641084671021
"2015-10-20",4.39750003814697,4.42708301544189,4.30916690826416,4.35083293914795,72626400,4.17602252960205
"2015-10-21",4.41916704177856,4.4316668510437,4.26833295822144,4.28083276748657,88248000,4.10883474349976
"2015-10-22",4.38791704177856,4.54541683197021,4.35125017166138,4.53458309173584,129876000,4.35238933563232
"2015-10-23",4.9004168510437,4.97125005722046,4.82708311080933,4.91166687011719,102028800,4.7143235206604
"2015-10-26",4.90541696548462,4.95333290100098,4.84999990463257,4.92624998092651,59944800,4.72831964492798
"2015-10-27",4.88625001907349,4.97583293914795,4.88208293914795,4.95833301544189,52231200,4.75911521911621
"2015-10-28",4.98083305358887,5.07666683197021,4.85791683197021,5.07333278656006,104479200,4.86949300765991
"2015-10-29",5.00750017166138,5.07916688919067,4.99291706085205,5.05458307266235,49912800,4.85149669647217
"2015-10-30",5.06125020980835,5.08750009536743,4.9850001335144,4.98541688919067,60036000,4.78510999679565
"2015-11-02",5.02250003814697,5.17208290100098,4.99458312988281,5.15541696548462,55300800,4.94828081130981
"2015-11-03",5.12375020980835,5.26416683197021,5.09999990463257,5.20458316802979,61812000,4.99547004699707
"2015-11-04",5.25624990463257,5.27083301544189,5.14458322525024,5.20666694641113,72916800,4.99746990203857
"2015-11-05",5.22249984741211,5.26083278656006,5.08583307266235,5.16083288192749,71126400,4.95347785949707
"2015-11-06",5.13916683197021,5.19458293914795,5.0370831489563,5.17791700363159,68124000,4.96987438201904
"2015-11-09",5.11791706085205,5.13875007629395,4.91583299636841,5.01125001907349,75657600,4.80990552902222
"2015-11-10",4.93125009536743,4.98624992370605,4.88749980926514,4.97583293914795,49360800,4.77591180801392
"2015-11-11",5.01375007629395,5.08541679382324,4.92916679382324,4.9537501335144,50414400,4.75471544265747
