"Index","EHLD.Open","EHLD.High","EHLD.Low","EHLD.Close","EHLD.Volume","EHLD.Adjusted"
"2025-03-07",17.5,30,5,17.5,0,17.5
"2025-03-10",17.5,17.5,17.5,17.5,0,17.5
"2025-03-11",18,31.3400001525879,17.7000007629395,17.7000007629395,23100,17.7000007629395
"2025-03-12",17.2399997711182,37.5900001525879,15.4200000762939,20.0599994659424,51300,20.0599994659424
"2025-03-13",20.0599994659424,20.0599994659424,20.0599994659424,20.0599994659424,0,20.0599994659424
"2025-03-14",20.0599994659424,20.0599994659424,13.9799995422363,15.9399995803833,52900,15.9399995803833
"2025-03-17",15.5,18.1800003051758,14.5799999237061,15.6999998092651,19000,15.6999998092651
"2025-03-18",12.6999998092651,12.8000001907349,7.5,8,96600,8
"2025-03-19",7.96999979019165,8.77000045776367,6.1100001335144,6.90999984741211,130100,6.90999984741211
"2025-03-20",6.90000009536743,7.21999979019165,6.13000011444092,6.13000011444092,81500,6.13000011444092
"2025-03-21",6.01999998092651,6.13000011444092,5.5,5.5,82500,5.5
"2025-03-24",5.34000015258789,5.63600015640259,4.76000022888184,5.03999996185303,119000,5.03999996185303
"2025-03-25",4.94000005722046,9.39999961853027,4.76000022888184,4.8600001335144,1897700,4.8600001335144
"2025-03-26",4.61999988555908,5.34999990463257,4.53999996185303,4.8899998664856,384500,4.8899998664856
"2025-03-27",4.98999977111816,4.98999977111816,4.51999998092651,4.55999994277954,102000,4.55999994277954
"2025-03-28",4.57000017166138,4.7979998588562,4.34999990463257,4.34999990463257,60500,4.34999990463257
"2025-03-31",4.36999988555908,4.84000015258789,4.26000022888184,4.78000020980835,76200,4.78000020980835
