"Index","SYG500.JO.Open","SYG500.JO.High","SYG500.JO.Low","SYG500.JO.Close","SYG500.JO.Volume","SYG500.JO.Adjusted"
"2017-10-25",3570.3310546875,3570.3310546875,3570.3310546875,3570.3310546875,0,3567.73046875
"2017-10-26",3634.25610351562,3634.25610351562,3634.25610351562,3634.25610351562,0,3631.60913085938
"2017-10-27",3645.71801757812,3645.71801757812,3645.71801757812,3645.71801757812,0,3643.06274414062
"2017-10-30",3627.98095703125,3627.98095703125,3627.98095703125,3627.98095703125,0,3625.33862304688
"2017-10-31",3648.5029296875,3648.5029296875,3648.5029296875,3648.5029296875,0,3645.845703125
"2017-11-01",3631.99291992188,3631.99291992188,3631.99291992188,3631.99291992188,0,3629.34741210938
"2017-11-02",3598.86010742188,3598.86010742188,3598.86010742188,3598.86010742188,0,3596.23901367188
"2017-11-03",3667.27587890625,3667.27587890625,3667.27587890625,3667.27587890625,0,3664.60498046875
"2017-11-06",3672.51489257812,3672.51489257812,3672.51489257812,3672.51489257812,0,3669.84033203125
"2017-11-07",3675.30810546875,3675.30810546875,3675.30810546875,3675.30810546875,0,3672.63134765625
"2017-11-08",3660.11206054688,3660.11206054688,3660.11206054688,3660.11206054688,0,3657.44604492188
"2017-11-09",3675.1708984375,3675.1708984375,3675.1708984375,3675.1708984375,0,3672.494140625
"2017-11-10",3697.57006835938,3697.57006835938,3697.57006835938,3697.57006835938,0,3694.876953125
"2017-11-13",3748.10595703125,3748.10595703125,3748.10595703125,3748.10595703125,0,3745.37646484375
"2017-11-14",3714.23901367188,3714.23901367188,3714.23901367188,3714.23901367188,0,3711.53344726562
"2017-11-15",3686.61694335938,3686.61694335938,3686.61694335938,3686.61694335938,0,3683.93212890625
"2017-11-16",3667.2119140625,3667.2119140625,3667.2119140625,3667.2119140625,0,3664.541015625
"2017-11-17",3629.53100585938,3629.53100585938,3629.53100585938,3629.53100585938,0,3626.88696289062
"2017-11-20",3627.09692382812,3627.09692382812,3627.09692382812,3627.09692382812,0,3624.45532226562
"2017-11-21",3636.94995117188,3636.94995117188,3636.94995117188,3636.94995117188,0,3634.30102539062
"2017-11-22",3598.80004882812,3598.80004882812,3598.80004882812,3598.80004882812,0,3596.17895507812
"2017-11-23",3611.9619140625,3611.9619140625,3611.9619140625,3611.9619140625,0,3609.3310546875
"2017-11-24",3626.98291015625,3626.98291015625,3626.98291015625,3626.98291015625,0,3624.34130859375
"2017-11-27",3588.544921875,3588.544921875,3588.544921875,3588.544921875,0,3585.93115234375
"2017-11-28",3579.74609375,3579.74609375,3579.74609375,3579.74609375,0,3577.13818359375
"2017-11-29",3613.40405273438,3613.40405273438,3613.40405273438,3613.40405273438,0,3610.77197265625
"2017-11-30",3585.1640625,3585.1640625,3585.1640625,3585.1640625,0,3582.552734375
"2017-12-01",3626.64208984375,3626.64208984375,3626.64208984375,3626.64208984375,0,3624.0009765625
"2017-12-04",3623.94506835938,3623.94506835938,3623.94506835938,3623.94506835938,0,3621.30541992188
"2017-12-05",3583.587890625,3583.587890625,3583.587890625,3583.587890625,0,3580.97729492188
"2017-12-06",3566.24194335938,3566.24194335938,3566.24194335938,3566.24194335938,0,3563.64453125
"2017-12-07",3605.8759765625,3605.8759765625,3605.8759765625,3605.8759765625,0,3603.24926757812
"2017-12-08",3603.13891601562,3603.13891601562,3603.13891601562,3603.13891601562,0,3600.5146484375
"2017-12-11",3614.71606445312,3614.71606445312,3614.71606445312,3614.71606445312,0,3612.08349609375
"2017-12-12",3640.98095703125,3640.98095703125,3640.98095703125,3640.98095703125,0,3638.3291015625
