"Index","SMH.Open","SMH.High","SMH.Low","SMH.Close","SMH.Volume","SMH.Adjusted"
"2015-10-13",25.9650001525879,26.1200008392334,25.8400001525879,25.8500003814697,6764400,23.12060546875
"2015-10-14",25.8299999237061,26.8400001525879,25.7450008392334,26.625,23660200,23.8137760162354
"2015-10-15",26.8050003051758,26.9699993133545,26.6149997711182,26.8050003051758,9743400,23.9747734069824
"2015-10-16",26.8400001525879,26.9400005340576,26.6849994659424,26.9150009155273,4762400,24.0731601715088
"2015-10-19",26.9300003051758,27.0599994659424,26.7700004577637,26.9349994659424,5340800,24.0910453796387
"2015-10-20",26.8999996185303,27.0049991607666,26.7749996185303,26.8799991607666,6586800,24.0418529510498
"2015-10-21",27.1900005340576,27.3600006103516,26.9249992370605,26.9300003051758,6060600,24.0865745544434
"2015-10-22",27.3250007629395,27.8349990844727,27.3250007629395,27.75,9127400,24.8199920654297
"2015-10-23",28.0100002288818,28.1800003051758,27.7800006866455,28.0650005340576,10415000,25.101734161377
"2015-10-26",28.0400009155273,28.0400009155273,27.4449996948242,27.5300006866455,4209000,24.6232242584229
"2015-10-27",27.3349990844727,27.5550003051758,27.2849998474121,27.3600006103516,7205000,24.4711723327637
"2015-10-28",27.5,27.7099990844727,27.3250007629395,27.6350002288818,9957000,24.717134475708
"2015-10-29",27.0300006866455,27.1599998474121,26.8850002288818,26.9200000762939,8654200,24.0776290893555
"2015-10-30",27.0349998474121,27.2350006103516,27.0149993896484,27.1049995422363,3365600,24.2430953979492
"2015-11-02",27.1700000762939,27.4050006866455,27.1100006103516,27.3600006103516,3818800,24.4711723327637
"2015-11-03",27.2749996185303,27.7199993133545,27.2350006103516,27.5949993133545,3427600,24.6813583374023
"2015-11-04",27.7299995422363,27.8150005340576,27.5650005340576,27.7749996185303,4005000,24.8423538208008
"2015-11-05",27.5550003051758,27.5949993133545,26.9850006103516,27.0550003051758,5219400,24.1983776092529
"2015-11-06",27.2199993133545,27.625,27.1499996185303,27.5949993133545,6433000,24.6813583374023
"2015-11-09",27.5550003051758,27.5550003051758,27.2099990844727,27.375,3274400,24.4845867156982
"2015-11-10",27,27.0849990844727,26.8299999237061,26.9400005340576,4874800,24.095516204834
"2015-11-11",26.9500007629395,27.2150001525879,26.9300003051758,26.9500007629395,2070800,24.1044635772705
"2015-11-12",26.8500003814697,26.9650001525879,26.6000003814697,26.6049995422363,4982600,23.7958927154541
"2015-11-13",26.5450000762939,26.6299991607666,26.2150001525879,26.3299999237061,6644800,23.5499267578125
"2015-11-16",26.3299999237061,26.6700000762939,26.3250007629395,26.6700000762939,3844200,23.8540267944336
"2015-11-17",26.6399993896484,27.0799999237061,26.6399993896484,26.9400005340576,5432800,24.095516204834
"2015-11-18",26.9349994659424,27.1100006103516,26.6949996948242,27.0799999237061,5680400,24.2207355499268
"2015-11-19",27.2600002288818,27.5300006866455,27.0450000762939,27.2900009155273,7587400,24.408561706543
"2015-11-20",27.3649997711182,27.5599994659424,27.3050003051758,27.3950004577637,2667800,24.502477645874
"2015-11-23",27.3950004577637,27.3950004577637,27.0400009155273,27.0849990844727,2456000,24.2252082824707
"2015-11-24",26.9349994659424,27.3999996185303,26.9349994659424,27.3700008392334,8014400,24.4801139831543
"2015-11-25",27.3400001525879,27.5349998474121,27.2900009155273,27.4099998474121,2013000,24.51589012146
"2015-11-27",27.4349994659424,27.6049995422363,27.4249992370605,27.5450000762939,1344600,24.6366405487061
"2015-11-30",27.6499996185303,27.8999996185303,27.5499992370605,27.8999996185303,4766800,24.9541530609131
"2015-12-01",27.9400005340576,28.2299995422363,27.9400005340576,28.2299995422363,3111400,25.2493114471436
"2015-12-02",28.3099994659424,28.4449996948242,28.0799999237061,28.1200008392334,3616200,25.1509265899658
"2015-12-03",28.4750003814697,28.4850006103516,27.7700004577637,27.9300003051758,6402600,24.9809875488281
"2015-12-04",27.9850006103516,28.4599990844727,27.8500003814697,28.3999996185303,3891600,25.4013595581055
