"Index","BIDU.Open","BIDU.High","BIDU.Low","BIDU.Close","BIDU.Volume","BIDU.Adjusted"
"2015-10-13",142.190002441406,147.229995727539,142.110000610352,146.5,2692600,146.5
"2015-10-14",146.5,146.850006103516,144.119995117188,145.020004272461,2374300,145.020004272461
"2015-10-15",147.039993286133,150.300003051758,145.660003662109,150.240005493164,3583600,150.240005493164
"2015-10-16",149.399993896484,152.380004882812,147.860000610352,151,3661300,151
"2015-10-19",150.5,155.860000610352,149.039993286133,154.679992675781,3966800,154.679992675781
"2015-10-20",154.820007324219,154.979995727539,151.520004272461,153.210006713867,2971700,153.210006713867
"2015-10-21",152.220001220703,152.490005493164,147.619995117188,149.630004882812,3045500,149.630004882812
"2015-10-22",150.770004272461,154.839996337891,150.309997558594,153.5,2156100,153.5
"2015-10-23",158.899993896484,159.869995117188,156.059997558594,157.600006103516,4210000,157.600006103516
"2015-10-26",169.470001220703,172.990005493164,165.830001831055,166.240005493164,9115700,166.240005493164
"2015-10-27",168.789993286133,174.75,168.610000610352,173.860000610352,6576700,173.860000610352
"2015-10-28",173.279998779297,174.479995727539,167.660003662109,172.539993286133,4874700,172.539993286133
"2015-10-29",172.539993286133,172.699996948242,167.889999389648,168.990005493164,5011600,168.990005493164
"2015-10-30",176.880004882812,189.550003051758,175.899993896484,187.470001220703,12645500,187.470001220703
"2015-11-02",185.399993896484,195.809997558594,185.389999389648,195.190002441406,6635800,195.190002441406
"2015-11-03",194.5,198.320007324219,192.039993286133,192.5,6053400,192.5
"2015-11-04",194.210006713867,199.399993896484,194.210006713867,197.919998168945,4720600,197.919998168945
"2015-11-05",198.070007324219,200.979995727539,194.699996948242,198.910003662109,3941600,198.910003662109
"2015-11-06",197.25,200.389999389648,196.5,200.300003051758,3792600,200.300003051758
"2015-11-09",198.649993896484,200.279998779297,193.009994506836,194.009994506836,3998600,194.009994506836
"2015-11-10",193.139999389648,198.449996948242,189.550003051758,196.990005493164,4368500,196.990005493164
"2015-11-11",198.199996948242,202.990005493164,196.300003051758,199.490005493164,4544100,199.490005493164
"2015-11-12",198.800003051758,200.860000610352,197.539993286133,198.139999389648,3158900,198.139999389648
"2015-11-13",195.610000610352,197.130004882812,192.850006103516,193.949996948242,4097100,193.949996948242
"2015-11-16",192.039993286133,201.240005493164,191,198.720001220703,4217000,198.720001220703
"2015-11-17",199.419998168945,200,195.75,196.830001831055,2443700,196.830001831055
"2015-11-18",196.710006713867,204.820007324219,196.520004272461,204.729995727539,4569800,204.729995727539
"2015-11-19",204.649993896484,210.899993896484,204.649993896484,207.800003051758,5391300,207.800003051758
"2015-11-20",208.300003051758,209.610000610352,206.25,206.690002441406,3749000,206.690002441406
"2015-11-23",206.809997558594,209,205.259994506836,207.460006713867,3633500,207.460006713867
"2015-11-24",206.75,207.5,202.809997558594,205.330001831055,3333700,205.330001831055
"2015-11-25",204.960006713867,207.580001831055,200.699996948242,201.800003051758,3843000,201.800003051758
"2015-11-27",200.229995727539,205.759994506836,198.699996948242,205.580001831055,3285300,205.580001831055
"2015-11-30",206.210006713867,217.970001220703,202.550003051758,217.970001220703,26201500,217.970001220703
"2015-12-01",213.389999389648,214.110000610352,210.009994506836,214.110000610352,6677600,214.110000610352
"2015-12-02",213.850006103516,214.529998779297,210.550003051758,211.360000610352,4010600,211.360000610352
"2015-12-03",213.25,215.199996948242,205.830001831055,207.479995727539,4230100,207.479995727539
"2015-12-04",208,210.029998779297,206.559997558594,208.300003051758,3476600,208.300003051758
"2015-12-07",207.990005493164,211.740005493164,207.770004272461,208.539993286133,3426100,208.539993286133
"2015-12-08",204.289993286133,206.520004272461,200.690002441406,205.020004272461,3930000,205.020004272461
"2015-12-09",204,205,200.009994506836,200.460006713867,3368100,200.460006713867
"2015-12-10",201.710006713867,201.970001220703,197.679992675781,200.009994506836,3126400,200.009994506836
"2015-12-11",196.100006103516,197,193.009994506836,193.679992675781,3662400,193.679992675781
"2015-12-14",193.889999389648,196.089996337891,193.320007324219,193.889999389648,3223500,193.889999389648
"2015-12-15",196,200.889999389648,195.240005493164,199.130004882812,3648900,199.130004882812
"2015-12-16",201.070007324219,201.300003051758,197.110000610352,199.339996337891,3275700,199.339996337891
"2015-12-17",200.720001220703,201.259994506836,196.820007324219,196.940002441406,2744700,196.940002441406
"2015-12-18",195.539993286133,196.380004882812,190.880004882812,191.919998168945,3514700,191.919998168945
