"Index","AMTD.Open","AMTD.High","AMTD.Low","AMTD.Close","AMTD.Volume","AMTD.Adjusted"
"2019-08-05",53.4599990844727,67.1399993896484,53.3400001525879,60.5400009155273,285633,60.5400009155273
"2019-08-06",63.9000015258789,65.5199966430664,59.2200012207031,59.2799987792969,74967,59.2799987792969
"2019-08-07",58.5,59.5800018310547,55.5,59.4000015258789,46350,59.4000015258789
"2019-08-08",59.2200012207031,59.6699981689453,53.2799987792969,59.5200004577637,29667,59.5200004577637
"2019-08-09",59.3400001525879,59.8199996948242,55.9199981689453,59.4000015258789,21283,59.4000015258789
"2019-08-12",59.2200012207031,59.2200012207031,56.7000007629395,58.3199996948242,2233,58.3199996948242
"2019-08-13",57.5400009155273,58.2000007629395,54.5999984741211,54.9599990844727,9383,54.9599990844727
"2019-08-14",57,57,54.060001373291,56.4000015258789,5217,56.4000015258789
"2019-08-15",57,57,53.8800010681152,54.3600006103516,2483,54.3600006103516
"2019-08-16",55.2000007629395,55.2000007629395,53.3400001525879,55.1399993896484,2550,55.1399993896484
"2019-08-19",56.0999984741211,56.0999984741211,53.0639991760254,55.439998626709,2533,55.439998626709
"2019-08-20",55.1399993896484,57,53.8199996948242,55.7999992370605,4467,55.7999992370605
"2019-08-21",56.4000015258789,56.4000015258789,54.6599998474121,55.3800010681152,1450,55.3800010681152
"2019-08-22",54.5999984741211,55.2000007629395,53.7000007629395,53.7000007629395,2717,53.7000007629395
"2019-08-23",53.0400009155273,53.4179992675781,50.8800010681152,52.7999992370605,5967,52.7999992370605
"2019-08-26",52.2000007629395,54,50.4599990844727,54,44450,54
"2019-08-27",54.9599990844727,56.1599998474121,53.5200004577637,54.2999992370605,2567,54.2999992370605
"2019-08-28",52.560001373291,55.1399993896484,52.560001373291,54.2999992370605,1883,54.2999992370605
"2019-08-29",53.5800018310547,54.2999992370605,49.6199989318848,50.2799987792969,8767,50.2799987792969
"2019-08-30",52.2599983215332,54.5999984741211,51,54,11750,54
"2019-09-03",54.4799995422363,55.1699981689453,52.8600006103516,54.2999992370605,2733,54.2999992370605
"2019-09-04",54.2999992370605,54.3600006103516,52.7999992370605,54.3600006103516,2933,54.3600006103516
"2019-09-05",54.2400016784668,55.0200004577637,53.0999984741211,54.4199981689453,2450,54.4199981689453
"2019-09-06",53.7599983215332,55.439998626709,52.8300018310547,54.4799995422363,1867,54.4799995422363
"2019-09-09",54.2999992370605,55.3499984741211,53.2799987792969,54.4799995422363,2100,54.4799995422363
"2019-09-10",54.060001373291,54.4799995422363,53.0999984741211,54.4799995422363,2217,54.4799995422363
"2019-09-11",54.4799995422363,54.5999984741211,53.0999984741211,54.4799995422363,2100,54.4799995422363
"2019-09-12",54.4799995422363,54.4799995422363,53.0999984741211,54.2400016784668,983,54.2400016784668
"2019-09-13",53.7599983215332,54.2999992370605,53.2200012207031,54.2999992370605,867,54.2999992370605
"2019-09-16",53.939998626709,55.1399993896484,53.2439994812012,54.4799995422363,1333,54.4799995422363
"2019-09-17",54.1199989318848,54.1199989318848,52.7999992370605,52.7999992370605,600,52.7999992370605
"2019-09-18",53.7000007629395,54,52.7999992370605,53.7000007629395,750,53.7000007629395
"2019-09-19",54.2999992370605,54.2999992370605,52.8600006103516,54,767,54
"2019-09-20",53.4000015258789,54.1199989318848,52.7760009765625,54.1199989318848,2083,54.1199989318848
"2019-09-23",53.7000007629395,53.7599983215332,52.9739990234375,53.7599983215332,650,53.7599983215332
"2019-09-24",53.1599998474121,53.742000579834,52.8600006103516,53.7000007629395,683,53.7000007629395
"2019-09-25",53.7000007629395,53.7000007629395,51.5400009155273,53.7000007629395,1467,53.7000007629395
"2019-09-26",53.2799987792969,53.7599983215332,51.9599990844727,53.7599983215332,1117,53.7599983215332
"2019-09-27",55.8600006103516,55.8600006103516,52.6500015258789,53.8199996948242,2400,53.8199996948242
"2019-09-30",52.7999992370605,54,51.5999984741211,54,1283,54
"2019-10-01",52.5,54,52.5,54,650,54
"2019-10-02",53.5800018310547,53.5800018310547,51.6599998474121,53.5800018310547,1183,53.5800018310547
"2019-10-03",53.4000015258789,53.4000015258789,46.7999992370605,52.7999992370605,7817,52.7999992370605
"2019-10-04",51.5999984741211,51.9000015258789,48.060001373291,48.6599998474121,1267,48.6599998474121
"2019-10-07",49.2000007629395,49.2000007629395,47.2799987792969,48,7067,48
"2019-10-08",49.9199981689453,50.0999984741211,47.4599990844727,48.6599998474121,10417,48.6599998474121
"2019-10-09",49.2000007629395,51.6599998474121,45.4199981689453,50.3400001525879,6267,50.3400001525879
"2019-10-10",49.9799995422363,51.7200012207031,49.9799995422363,50.8800010681152,1083,50.8800010681152
"2019-10-11",51.3600006103516,52.5,47.4599990844727,52.5,7383,52.5
"2019-10-14",52.0800018310547,52.2599983215332,49.9799995422363,51,7183,51
"2019-10-15",52.7999992370605,54.4199981689453,52.2000007629395,52.3800010681152,6033,52.3800010681152
"2019-10-16",53.4000015258789,53.4000015258789,49.7999992370605,51,1200,51
"2019-10-17",50.5800018310547,50.5800018310547,47.1599998474121,49.2000007629395,11017,49.2000007629395
"2019-10-18",49.2000007629395,49.7999992370605,47.4599990844727,48,1717,48
"2019-10-21",48.3600006103516,50.8800010681152,47.939998626709,50.0999984741211,2267,50.0999984741211
"2019-10-22",49.9799995422363,50.0999984741211,49.439998626709,50.0999984741211,15733,50.0999984741211
"2019-10-23",50.5200004577637,51,47.5800018310547,50.2200012207031,4250,50.2200012207031
"2019-10-24",49.7999992370605,49.7999992370605,46.9199981689453,48,6150,48
"2019-10-25",47.0400009155273,48.4500007629395,47.0400009155273,48.2999992370605,2083,48.2999992370605
"2019-10-28",48,48.1800003051758,47.1599998474121,48.1800003051758,3117,48.1800003051758
"2019-10-29",47.8800010681152,48.2400016784668,44.5800018310547,48,3367,48
"2019-10-30",47.6399993896484,48.2999992370605,45.5999984741211,48,2033,48
"2019-10-31",46.0800018310547,47.8800010681152,43.8600006103516,47.8800010681152,2983,47.8800010681152
"2019-11-01",47.939998626709,48,45.1800003051758,48,3283,48
"2019-11-04",48.4199981689453,50.4000015258789,46.7400016784668,50.4000015258789,2433,50.4000015258789
"2019-11-05",50.0400009155273,50.7000007629395,48.3600006103516,49.7999992370605,1067,49.7999992370605
"2019-11-06",50.7000007629395,50.7000007629395,48.8400001525879,49.7999992370605,1700,49.7999992370605
"2019-11-07",49.439998626709,50.0999984741211,48.0299987792969,50.0999984741211,1367,50.0999984741211
