"Index","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"2015-10-13",61.3899993896484,62.1599998474121,61.310001373291,61.5499992370605,15621900,47.7109527587891
"2015-10-14",60.7599983215332,60.9700012207031,59.5400009155273,59.9900016784668,28989400,46.5017204284668
"2015-10-15",60.4700012207031,61.9599990844727,60.0999984741211,61.8899993896484,18147900,47.9745178222656
"2015-10-16",62.4300003051758,62.6500015258789,62.0900001525879,62.4300003051758,17456600,48.3931045532227
"2015-10-19",62,62.7700004577637,61.9099998474121,62.2200012207031,14510400,48.2303237915039
"2015-10-20",62.3600006103516,62.8199996948242,62.0800018310547,62.5200004577637,11545100,48.4628677368164
"2015-10-21",62.8800010681152,62.9599990844727,62.0499992370605,62.060001373291,12113400,48.1063003540039
"2015-10-22",62.4199981689453,63.5800018310547,62.4199981689453,63.189998626709,15295700,48.9822196960449
"2015-10-23",63.6300010681152,64.1900024414062,63.5,63.8699989318848,16985200,49.5093307495117
"2015-10-26",63.8400001525879,63.9900016784668,63.4099998474121,63.9000015258789,13880200,49.5325813293457
"2015-10-27",63.5299987792969,63.8600006103516,63.310001373291,63.6399993896484,8831900,49.3310508728027
"2015-10-28",63.7000007629395,65.7399978637695,63.689998626709,65.5,17962000,50.772834777832
"2015-10-29",65.2600021362305,65.8300018310547,64.879997253418,65.2099990844727,12753700,50.5480499267578
"2015-10-30",65.3000030517578,65.3399963378906,64.129997253418,64.25,15731400,49.803897857666
"2015-11-02",64.4499969482422,65.75,64.3899993896484,65.5400009155273,15253300,50.803840637207
"2015-11-03",65.2900009155273,66.0999984741211,65.1699981689453,65.7799987792969,11519500,50.989875793457
"2015-11-04",66.0100021362305,66.1500015258789,65.629997253418,65.8499984741211,11388400,51.0441398620605
"2015-11-05",65.7900009155273,66.6699981689453,65.75,66.4400024414062,12715900,51.5014877319336
"2015-11-06",68.370002746582,69.0299987792969,68.0999984741211,68.4599990844727,23262700,53.0673065185547
"2015-11-09",68.6999969482422,68.7200012207031,67.0800018310547,67.3899993896484,17143800,52.2378883361816
"2015-11-10",67.1900024414062,67.8499984741211,66.9300003051758,67.6800003051758,13239700,52.4626808166504
"2015-11-11",68.0999984741211,68.1699981689453,67.25,67.3499984741211,8513900,52.2068824768066
"2015-11-12",66.8600006103516,66.9000015258789,65.9499969482422,66,13576900,51.1604232788086
"2015-11-13",65.8399963378906,66.1699981689453,65.2300033569336,65.5599975585938,11837000,50.8193473815918
"2015-11-16",65.4599990844727,66.5800018310547,65.1699981689453,66.5100021362305,11041100,51.5557479858398
"2015-11-17",66.6699981689453,66.7399978637695,65.8899993896484,66.129997253418,12354800,51.2611923217773
"2015-11-18",66.4800033569336,67.5500030517578,66.370002746582,67.4499969482422,12911400,52.2843933105469
"2015-11-19",67.5800018310547,67.8199996948242,67.0400009155273,67.6600036621094,12839500,52.4471778869629
"2015-11-20",67.9899978637695,68.1100006103516,67.379997253418,67.5400009155273,11209600,52.3541717529297
"2015-11-23",67.3099975585938,67.5800018310547,66.7799987792969,66.879997253418,11339000,51.8425559997559
"2015-11-24",66.1699981689453,67.1399993896484,66.0400009155273,66.7799987792969,10910000,51.7650413513184
"2015-11-25",66.9300003051758,67.120002746582,66.5500030517578,66.8600006103516,7772000,51.8270492553711
"2015-11-27",67,67.3300018310547,66.6399993896484,67.1699981689453,4052500,52.0673561096191
"2015-11-30",67.2799987792969,67.5199966430664,66.6800003051758,66.6800003051758,15147500,51.6875343322754
"2015-12-01",67.3399963378906,67.8300018310547,66.9899978637695,67.6100006103516,12708800,52.4084205627441
"2015-12-02",67.8300018310547,67.879997253418,66.4800033569336,66.6600036621094,13440900,51.6720199584961
"2015-12-03",66.8300018310547,67.0299987792969,65.5800018310547,65.8000030517578,14626900,51.0053901672363
"2015-12-04",66.0999984741211,68,66.0299987792969,67.8899993896484,17786000,52.6254768371582
"2015-12-07",67.6600036621094,67.75,66.4000015258789,67,11686000,51.9355697631836
"2015-12-08",66.25,66.9599990844727,65.6999969482422,65.9599990844727,13084500,51.1294212341309
