"Index","CNYUSD=X.Open","CNYUSD=X.High","CNYUSD=X.Low","CNYUSD=X.Close","CNYUSD=X.Volume","CNYUSD=X.Adjusted"
"2015-10-12",6.3239107131958,6.34759473800659,6.31991386413574,6.32351064682007,0,6.32351064682007
"2015-10-13",6.34276342391968,6.35243320465088,6.33834075927734,6.34276342391968,0,6.34276342391968
"2015-10-14",6.34638547897339,6.35162591934204,6.33793878555298,6.34678840637207,0,6.34678840637207
"2015-10-15",6.34799718856812,6.36051368713379,6.33633232116699,6.34799718856812,0,6.34799718856812
"2015-10-18",6.34558010101318,6.36658811569214,6.32471084594727,6.34517765045166,0,6.34517765045166
"2015-10-19",6.36010932922363,6.36902093887329,6.34195804595947,6.36051368713379,0,6.36051368713379
"2015-10-20",6.34880352020264,6.35445117950439,6.33914422988892,6.34880352020264,0,6.34880352020264
"2015-10-21",6.35041570663452,6.36658811569214,6.34477519989014,6.349609375,0,6.349609375
"2015-10-22",6.35808753967285,6.36618328094482,6.34477519989014,6.35930061340332,0,6.35930061340332
"2015-10-26",6.35081911087036,6.35849189758301,6.33432579040527,6.35081911087036,0,6.35081911087036
"2015-10-27",6.35041570663452,6.35849189758301,6.3367338180542,6.3512225151062,0,6.3512225151062
"2015-10-28",6.35364389419556,6.36942672729492,6.35081911087036,6.35324048995972,0,6.35324048995972
"2015-10-29",6.36375188827515,6.36577796936035,6.35202980041504,6.36010932922363,0,6.36010932922363
"2015-10-30",6.35930061340332,6.36213254928589,6.3123345375061,6.35404777526855,0,6.35404777526855
"2015-11-02",6.30994415283203,6.34719085693359,6.30080032348633,6.31034231185913,0,6.31034231185913
"2015-11-03",6.33834075927734,6.34316539764404,6.31432723999023,6.33874273300171,0,6.33874273300171
"2015-11-04",6.33994817733765,6.34195804595947,6.33071660995483,6.33954620361328,0,6.33954620361328
"2015-11-05",6.33472728729248,6.36456203460693,6.33272123336792,6.33472728729248,0,6.33472728729248
"2015-11-06",6.34558010101318,6.35808753967285,6.33191919326782,6.34558010101318,0,6.34558010101318
"2015-11-09",6.3572793006897,6.41231203079224,6.34638547897339,6.3572793006897,0,6.3572793006897
"2015-11-10",6.36334705352783,6.3722677230835,6.35566282272339,6.36294221878052,0,6.36294221878052
"2015-11-11",6.36375188827515,6.37348604202271,6.35525894165039,6.36172819137573,0,6.36172819137573
"2015-11-12",6.36861515045166,6.37429857254028,6.35970497131348,6.36861515045166,0,6.36861515045166
"2015-11-13",6.3722677230835,6.38080644607544,6.36496686935425,6.36820983886719,0,6.36820983886719
"2015-11-16",6.41766166687012,6.41766166687012,6.36091804504395,6.41848516464233,0,6.41848516464233
"2015-11-17",6.3722677230835,6.38406562805176,6.36577796936035,6.3710503578186,0,6.3710503578186
"2015-11-18",6.38039970397949,6.39100122451782,6.37429857254028,6.37836456298828,0,6.37836456298828
"2015-11-19",6.38528823852539,6.38855218887329,6.36699342727661,6.38610363006592,0,6.38610363006592
"2015-11-20",6.38284254074097,6.39100122451782,6.3763313293457,6.38243532180786,0,6.38243532180786
"2015-11-23",6.40409851074219,6.42673540115356,6.38365745544434,6.40368843078613,0,6.40368843078613
"2015-11-24",6.38773536682129,6.39590644836426,6.37999248504639,6.38855218887329,0,6.38855218887329
"2015-11-25",6.39018487930298,6.39590644836426,6.38325023651123,6.38855218887329,0,6.38855218887329
"2015-11-26",6.38977670669556,6.3946795463562,6.38528823852539,6.38773536682129,0,6.38773536682129
"2015-11-27",6.38936805725098,6.40040969848633,6.38814353942871,6.39018487930298,0,6.39018487930298
"2015-11-30",6.3905930519104,6.40368843078613,6.38447332382202,6.39018487930298,0,6.39018487930298
"2015-12-01",6.3987717628479,6.40409851074219,6.39386224746704,6.40081930160522,0,6.40081930160522
"2015-12-02",6.40000009536743,6.40450859069824,6.38162088394165,6.40000009536743,0,6.40000009536743
"2015-12-03",6.39959049224854,6.44786882400513,6.38977670669556,6.3987717628479,0,6.3987717628479
"2015-12-04",6.3987717628479,6.4069709777832,6.38855218887329,6.40000009536743,0,6.40000009536743
"2015-12-07",6.38773536682129,6.41313409805298,6.38651180267334,6.3869194984436,0,6.3869194984436
"2015-12-08",6.40984535217285,6.422607421875,6.40491914749146,6.41066694259644,0,6.41066694259644
"2015-12-09",6.41724967956543,6.43335056304932,6.41436815261841,6.41642618179321,0,6.41642618179321
"2015-12-10",6.42962741851807,6.4437141418457,6.42054557800293,6.4292140007019,0,6.4292140007019
